id,label,timeset,weight<links>,weight<citations>,cluster,url,score<pub._year>,score<norm._citations>,weight<norm._citations>,score<citations>,description
17.0,jones (2012),,1.0,18.0,1.0,http://dx.doi.org/10.5194/acp-12-5207-2012,2012.0,2.3478,2.3478,18.0,"<table><tr><td>Authors:</td><td>jones, a; walker, ka; jin, jj; taylor, jr; boone, cd; bernath, pf; brohede, s; manney, gl; mcleod, s; hughes, r; daffer, wh</td></tr><tr><td>Title:</td><td>technical note: a trace gas climatology derived from the atmospheric chemistry experiment fourier transform spectrometer (ace-fts) data set</td></tr><tr><td>Source:</td><td>atmospheric chemistry and physics, 12(11), 5207-5220</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"
18.0,karmakar (2011),,1.0,3.0,3.0,http://dx.doi.org/10.1016/j.asr.2011.06.032,2011.0,1.2,1.2,3.0,"<table><tr><td>Authors:</td><td>karmakar, pk; maiti, m; sett, s; angelis, cf; machado, lat</td></tr><tr><td>Title:</td><td>radiometric estimation of water vapor content over brazil</td></tr><tr><td>Source:</td><td>advances in space research, 48(9), 1506-1514</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"
19.0,nasir (2011),,2.0,2.0,8.0,http://dx.doi.org/10.1007/s10686-011-9214-9,2011.0,0.8,0.8,2.0,"<table><tr><td>Authors:</td><td>nasir, ft; buffa, f; deiana, gl</td></tr><tr><td>Title:</td><td>characterization of the atmosphere above a site for millimeter wave astronomy</td></tr><tr><td>Source:</td><td>experimental astronomy, 29(3), 207-225</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"
20.0,yang (2010),,6.0,39.0,5.0,,2010.0,1.0,1.0,39.0,"<table><tr><td>Authors:</td><td>yang, h; kulesa, ca; walker, ck; tothill, nfh; yang, j; ashley, mcb; cui, x; feng, l; lawrence, js; luong-van, dm; mccaughrean, mj; storey, jwv; wang, l; zhou, x; zhu, z</td></tr><tr><td>Title:</td><td>exceptional terahertz transparency and stability above dome a, antarctica</td></tr><tr><td>Source:</td><td>publications of the astronomical society of the pacific, 122(890), 490-494</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"
21.0,turner (2009),,4.0,34.0,2.0,http://dx.doi.org/10.1109/tgrs.2009.2022262,2009.0,1.9429,1.9429,34.0,"<table><tr><td>Authors:</td><td>turner, dd; cadeddu, mp; lohnert, u; crewell, s; vogelmann, am</td></tr><tr><td>Title:</td><td>modifications to the water vapor continuum in the microwave suggested by ground-based 150-ghz observations</td></tr><tr><td>Source:</td><td>ieee transactions on geoscience and remote sensing, 47(10), 3326-3337</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"
27.0,cimini (2007),,5.0,29.0,3.0,http://dx.doi.org/10.1109/tgrs.2007.897450,2007.0,0.8571,0.8571,29.0,"<table><tr><td>Authors:</td><td>cimini, d; gasiewski, aj; klein, m; leuski, vy; lijegren, jc</td></tr><tr><td>Title:</td><td>ground-based millimeter- and submillimeter-wave observations of low vapor and liquid water contents</td></tr><tr><td>Source:</td><td>ieee transactions on geoscience and remote sensing, 45(7), 2169-2180</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"
28.0,pazmany (2007),,1.0,16.0,3.0,http://dx.doi.org/10.1109/tgrs.2006.888104,2007.0,0.4729,0.4729,16.0,"<table><tr><td>Authors:</td><td>pazmany, al</td></tr><tr><td>Title:</td><td>a compact 183-ghz radiometer for water vapor and liquid water sensing</td></tr><tr><td>Source:</td><td>ieee transactions on geoscience and remote sensing, 45(7), 2202-2206</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"
30.0,mattioli (2007),,2.0,38.0,3.0,http://dx.doi.org/10.1175/jtech1982.1,2007.0,1.1232,1.1232,38.0,"<table><tr><td>Authors:</td><td>mattioli, v; westwater, er; cimini, d; liljegren, jc; lesht, bm; gutman, si; schmidlin, fj</td></tr><tr><td>Title:</td><td>analysis of radiosonde and ground-based remotely sensed pwv data from the 2004 north slope of alaska arctic winter radiometric experiment</td></tr><tr><td>Source:</td><td>journal of atmospheric and oceanic technology, 24(3), 415-431</td></tr><tr><td>Year:</td><td>2007</td></tr></table>"
31.0,durre (2006),,1.0,235.0,1.0,http://dx.doi.org/10.1175/jcli3594.1,2006.0,1.0,1.0,235.0,"<table><tr><td>Authors:</td><td>durre, i; vose, rs; wuertz, db</td></tr><tr><td>Title:</td><td>overview of the integrated global radiosonde archive</td></tr><tr><td>Source:</td><td>journal of climate, 19(1), 53-68</td></tr><tr><td>Year:</td><td>2006</td></tr></table>"
33.0,bussmann (2005),,2.0,24.0,5.0,http://dx.doi.org/10.1086/427935,2005.0,0.1514,0.1514,24.0,"<table><tr><td>Authors:</td><td>bussmann, rs; holzapfel, wl; kuo, cl</td></tr><tr><td>Title:</td><td>millimeter wavelength brightness fluctuations of the atmosphere above the south pole</td></tr><tr><td>Source:</td><td>astrophysical journal, 622(2), 1343-1355</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
34.0,murphy (2005),,2.0,440.0,5.0,http://dx.doi.org/10.1256/qj.04.94,2005.0,2.776,2.776,440.0,"<table><tr><td>Authors:</td><td>murphy, dm; koop, t</td></tr><tr><td>Title:</td><td>review of the vapour pressures of ice and supercooled water for atmospheric applications</td></tr><tr><td>Source:</td><td>quarterly journal of the royal meteorological society, 131(608), 1539-1565</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
35.0,lawrence (2005),,1.0,165.0,1.0,http://dx.doi.org/10.1175/bams-86-2-225,2005.0,1.041,1.041,165.0,"<table><tr><td>Authors:</td><td>lawrence, mg</td></tr><tr><td>Title:</td><td>the relationship between relative humidity and the dewpoint temperature in moist air - a simple conversion and applications</td></tr><tr><td>Source:</td><td>bulletin of the american meteorological society, 86(2), 225</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
39.0,calisse (2004),,4.0,30.0,6.0,http://dx.doi.org/10.1071/as03018,2004.0,1.6,1.6,30.0,"<table><tr><td>Authors:</td><td>calisse, pg; ashley, mcb; burton, mg; phillips, ma; storey, jwv; radford, sje; peterson, jb</td></tr><tr><td>Title:</td><td>submillimeter site testing at dome c, antarctica</td></tr><tr><td>Source:</td><td>publications of the astronomical society of australia, 21(3), 256-263</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
44.0,archibald (2002),,2.0,63.0,6.0,http://dx.doi.org/10.1046/j.1365-8711.2002.05582.x,2002.0,1.4538,1.4538,63.0,"<table><tr><td>Authors:</td><td>archibald, en; jenness, t; holland, ws; coulson, im; jessop, ne; stevens, ja; robson, ei; tilanus, rpj; duncan, wd; lightfoot, jf; coulson, im; robson, ei; holland, ws; duncan, wd; lowenthal, j; hughes, dh</td></tr><tr><td>Title:</td><td>on the atmospheric limitations of ground-based submillimetre astronomy using array receivers</td></tr><tr><td>Source:</td><td>monthly notices of the royal astronomical society, 336(1), 1-13</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"
45.0,kuhn (2002),,3.0,36.0,2.0,http://dx.doi.org/10.1016/s0022-4073(01)00271-0,2002.0,0.8308,0.8308,36.0,"<table><tr><td>Authors:</td><td>kuhn, t; bauer, a; godon, m; buehler, sa; kunzi, k</td></tr><tr><td>Title:</td><td>water vapor continuum: absorption measurements at 350 ghz and model calculations</td></tr><tr><td>Source:</td><td>journal of quantitative spectroscopy & radiative transfer, 74(5), 545-562</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"
49.0,pardo (2001),,8.0,160.0,4.0,http://dx.doi.org/10.1109/8.982447,2001.0,2.3669,2.3669,160.0,"<table><tr><td>Authors:</td><td>pardo, jr; cernicharo, j; serabyn, e</td></tr><tr><td>Title:</td><td>atmospheric transmission at microwaves (atm): an improved model for millimeter/submillimeter applications</td></tr><tr><td>Source:</td><td>ieee transactions on antennas and propagation, 49(12), 1683-1694</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
50.0,liljegren (2001),,1.0,90.0,1.0,http://dx.doi.org/10.1029/2000jd900817,2001.0,1.3314,1.3314,90.0,"<table><tr><td>Authors:</td><td>liljegren, jc; clothiaux, ee; mace, gg; kato, s; dong, xq</td></tr><tr><td>Title:</td><td>a new retrieval for cloud liquid water path using a ground-based microwave radiometer and measurements of cloud temperature</td></tr><tr><td>Source:</td><td>journal of geophysical research-atmospheres, 106(d13), 14485-14500</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
51.0,smith (2001),,1.0,14.0,6.0,http://dx.doi.org/10.1023/a:1010689508585,2001.0,0.2071,0.2071,14.0,"<table><tr><td>Authors:</td><td>smith, gj; naylor, da; feldman, pa</td></tr><tr><td>Title:</td><td>measurements of atmospheric water vapor above mauna kea using an infrared radiometer</td></tr><tr><td>Source:</td><td>international journal of infrared and millimeter waves, 22(5), 661-678</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
52.0,pardo (2001),,4.0,73.0,2.0,http://dx.doi.org/10.1016/s0022-4073(00)00034-0,2001.0,1.0799,1.0799,73.0,"<table><tr><td>Authors:</td><td>pardo, jr; serabyn, e; cernicharo, j</td></tr><tr><td>Title:</td><td>submillimeter atmospheric transmission measurements on mauna kea during extremely dry el nino conditions: implications for broadband opacity contributions</td></tr><tr><td>Source:</td><td>journal of quantitative spectroscopy & radiative transfer, 68(4), 419-433</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
