,AOD,Date,Dist,EstCerc,EstMed,PM25
61,0.340000016149,2012-04-27 14:50:00,40.4428641674,CARVAJAL,KENNEDY,8
62,0.647000030731,2012-04-30 15:20:00,24.1667976248,TUNAL,KENNEDY,23
63,0.228000010829,2012-05-02 15:10:00,51.4795075571,FERIAS,KENNEDY,12
64,0.371000017622,2012-05-04 15:20:00,40.5088005467,KENNEDY,KENNEDY,19
65,0.353000016767,2012-05-06 15:10:00,50.0234451002,KENNEDY,KENNEDY,7
66,0.243000011542,2012-05-08 14:30:00,27.993037222,FERIAS,KENNEDY,18
67,0.251000011922,2012-05-15 14:40:00,39.9773833895,KENNEDY,KENNEDY,21
68,0.83900003985,2012-05-18 15:10:00,25.2933364552,KENNEDY,KENNEDY,36
69,0.272000012919,2012-05-25 15:40:00,34.2295043301,KENNEDY,KENNEDY,9
70,0.212000010069,2012-05-27 15:00:00,15.142248161,KENNEDY,KENNEDY,16
71,0.625000029686,2012-05-29 14:50:00,22.9071732399,KENNEDY,KENNEDY,16
72,0.391000018572,2012-05-31 14:40:00,46.6343667522,KENNEDY,KENNEDY,8
73,0.583000027691,2012-06-03 15:10:00,52.2735939713,KENNEDY,KENNEDY,10
74,0.517000024556,2012-06-05 15:20:00,17.0215819842,KENNEDY,KENNEDY,16
75,0.411000019521,2012-06-07 15:10:00,30.6533328185,SANCRISTOBAL,KENNEDY,20
76,0.405000019236,2012-06-09 14:30:00,33.85968152,KENNEDY,KENNEDY,11
77,0.290000013774,2012-06-10 15:40:00,52.4919623248,TUNAL,KENNEDY,12
78,0.709000033676,2012-06-12 15:00:00,49.2785927008,KENNEDY,KENNEDY,12
79,0.0950000045123,2012-06-15 16:00:00,47.2093650964,KENNEDY,KENNEDY,13
80,0.250000011874,2012-06-17 15:20:00,57.4315275392,CARVAJAL,KENNEDY,15
81,0.125000005937,2012-06-18 14:50:00,11.9160940428,CARVAJAL,KENNEDY,6
82,0.211000010022,2012-06-19 15:10:00,9.19346591621,KENNEDY,KENNEDY,16
83,0.193000009167,2012-06-22 15:40:00,1.67207399503,KENNEDY,KENNEDY,12
84,0.428000020329,2012-06-23 15:10:00,32.9949436351,KENNEDY,KENNEDY,39
85,0.206000009784,2012-06-24 15:50:00,36.1229097125,KENNEDY,KENNEDY,10
86,0.318000015104,2012-06-26 15:40:00,32.7703758345,KENNEDY,KENNEDY,10
87,0.243000011542,2012-06-28 15:00:00,39.0248036035,KENNEDY,KENNEDY,12
88,0.214000010164,2012-06-28 15:30:00,44.8888237653,CARVAJAL,KENNEDY,12
89,0.242000011494,2012-07-02 14:40:00,49.3603591918,CARVAJAL,KENNEDY,11
90,0.403000019141,2012-07-05 15:10:00,38.4610318245,KENNEDY,KENNEDY,14
91,0.335000015912,2012-07-07 15:20:00,53.320660246,KENNEDY,KENNEDY,19
92,0.0900000042748,2012-07-08 15:40:00,51.8006546343,KENNEDY,KENNEDY,7
93,0.346000016434,2012-07-12 15:40:00,54.3781525735,KENNEDY,KENNEDY,16
94,0.255000012112,2012-07-14 15:00:00,29.2464291079,FERIAS,KENNEDY,21
95,0.252000011969,2012-07-14 15:30:00,40.4226601296,SANCRISTOBAL,KENNEDY,21
96,0.281000013347,2012-07-16 14:50:00,7.44337977216,KENNEDY,KENNEDY,16
97,0.0960000045598,2012-07-17 16:00:00,39.0357273238,KENNEDY,KENNEDY,22
98,0.292000013869,2012-07-18 14:40:00,31.0381689067,KENNEDY,KENNEDY,10
99,0.182000008645,2012-07-19 15:20:00,50.0766621685,KENNEDY,KENNEDY,18
100,0.392000018619,2012-07-21 15:10:00,6.0784441088,KENNEDY,KENNEDY,12
101,0.427000020281,2012-07-23 15:20:00,34.9249109189,KENNEDY,KENNEDY,12
102,0.229000010877,2012-07-25 15:10:00,25.7360341677,SANCRISTOBAL,KENNEDY,9
103,0.256000012159,2012-07-28 15:40:00,29.5037826446,KENNEDY,KENNEDY,13
104,0.368000017479,2012-08-01 14:50:00,43.3314242898,KENNEDY,KENNEDY,9
105,0.388000018429,2012-08-03 14:40:00,50.3316259163,FERIAS,KENNEDY,21
106,0.1600000076,2012-08-04 15:20:00,19.5802651615,KENNEDY,KENNEDY,7
107,0.290000013774,2012-08-08 15:20:00,15.4973895955,TUNAL,KENNEDY,10
108,0.358000017004,2012-08-10 15:10:00,40.736921028,KENNEDY,KENNEDY,10
109,0.364000017289,2012-08-11 15:50:00,53.864548726,FERIAS,KENNEDY,24
110,0.292000013869,2012-08-12 14:30:00,28.9532817486,SANCRISTOBAL,KENNEDY,17
111,0.264000012539,2012-08-28 14:30:00,46.2734068788,KENNEDY,KENNEDY,14
112,0.349000016577,2012-09-02 14:50:00,61.9489969036,FERIAS,KENNEDY,13
113,0.202000009594,2012-09-05 15:20:00,53.9091216563,KENNEDY,KENNEDY,10
114,0.293000013917,2012-09-06 14:50:00,71.2107210628,FERIAS,KENNEDY,13
115,0.186000008835,2012-09-07 15:10:00,15.053479682,KENNEDY,KENNEDY,6
116,0.199000009452,2012-09-09 15:20:00,28.6039250825,KENNEDY,KENNEDY,10
117,0.146000006935,2012-09-10 15:40:00,46.7654629277,KENNEDY,KENNEDY,14
118,0.453000021516,2012-09-14 15:40:00,29.3176269245,SANCRISTOBAL,KENNEDY,22
119,0.728000034578,2012-09-16 15:00:00,76.2174010343,FERIAS,KENNEDY,20
120,0.313000014867,2012-09-18 14:50:00,38.4300746564,KENNEDY,KENNEDY,11
121,0.179000008502,2012-09-19 16:00:00,31.9635091033,SANCRISTOBAL,KENNEDY,18
122,0.635000030161,2012-09-20 14:40:00,55.0828386396,KENNEDY,KENNEDY,12
123,0.493000023416,2012-09-21 15:20:00,45.4489517095,TUNAL,KENNEDY,23
124,0.921000043745,2012-09-25 15:20:00,35.3013710158,KENNEDY,KENNEDY,11
125,0.268000012729,2012-09-28 15:50:00,55.2114332802,KENNEDY,KENNEDY,8
126,0.460000021849,2012-10-02 15:00:00,54.8490947202,TUNAL,KENNEDY,12
127,0.525000024936,2012-10-04 14:50:00,52.3393937089,FERIAS,KENNEDY,26
128,0.199000009452,2012-10-09 15:10:00,9.2303753846,KENNEDY,KENNEDY,13
129,0.528000025079,2012-10-11 15:20:00,27.3286467897,MINAMBIENTE,KENNEDY,37
130,0.429000020376,2012-10-13 15:10:00,21.1105280998,KENNEDY,KENNEDY,35
131,0.554000026314,2012-10-15 14:30:00,29.9133704633,SANCRISTOBAL,KENNEDY,21
132,1.06300005049,2012-10-18 15:00:00,53.0349206266,USAQUEN,KENNEDY,27
133,0.361000017147,2012-10-20 14:50:00,12.3112575628,KENNEDY,KENNEDY,42
134,0.512000024319,2012-10-21 16:00:00,33.2379146666,KENNEDY,KENNEDY,36
135,0.527000025031,2012-10-23 15:20:00,20.1857458896,FERIAS,KENNEDY,28
136,0.731000034721,2012-10-25 15:10:00,28.4923422797,KENNEDY,KENNEDY,20
137,0.218000010354,2012-10-27 15:20:00,5.94110824758,KENNEDY,KENNEDY,25
138,0.0340000016149,2012-10-28 15:40:00,16.7474730899,USAQUEN,KENNEDY,14
139,0.18800000893,2012-11-01 15:40:00,21.0828969536,USAQUEN,KENNEDY,10
140,0.401000019046,2012-11-03 15:00:00,17.4901532624,TUNAL,KENNEDY,36
141,0.143000006792,2012-11-06 16:00:00,37.6069960325,KENNEDY,KENNEDY,24
142,0.328000015579,2012-11-07 14:40:00,26.1321654252,SANCRISTOBAL,KENNEDY,16
143,0.215000010212,2012-11-08 15:20:00,24.0924329978,USAQUEN,KENNEDY,17
144,0.514000024414,2012-11-10 15:10:00,32.171845839,FERIAS,KENNEDY,50
145,0.493000023416,2012-11-12 15:20:00,26.6314092471,SANCRISTOBAL,KENNEDY,20
146,0.311000014772,2012-11-15 15:50:00,73.7440980486,FERIAS,KENNEDY,20
147,0.398000018904,2012-11-17 15:40:00,26.0467940571,USAQUEN,KENNEDY,27
148,0.265000012587,2012-11-19 15:00:00,16.9797381506,TUNAL,KENNEDY,38
149,0.294000013964,2012-11-21 14:50:00,5.03717917021,KENNEDY,KENNEDY,49
150,0.510000024224,2012-11-23 14:40:00,29.2791311446,SANCRISTOBAL,KENNEDY,36
151,0.137000006507,2012-11-24 15:20:00,13.1274048527,TUNAL,KENNEDY,50
152,0.0510000024224,2012-11-25 14:50:00,13.6971662167,CARVAJAL,KENNEDY,11
153,0.426000020234,2012-11-26 15:10:00,46.0162697167,KENNEDY,KENNEDY,16
154,0.584000027739,2012-11-28 15:20:00,26.4892491982,KENNEDY,KENNEDY,27
155,0.302000014344,2012-11-30 15:10:00,51.5808748963,KENNEDY,KENNEDY,13
156,0.281000013347,2012-12-01 15:50:00,33.8847043326,KENNEDY,KENNEDY,12
157,0.212000010069,2012-12-02 14:30:00,48.2327525263,USAQUEN,KENNEDY,12
158,0.262000012444,2012-12-03 15:40:00,14.6228086605,KENNEDY,KENNEDY,20
159,0.238000011304,2012-12-04 14:20:00,24.636857126,SANCRISTOBAL,KENNEDY,37
160,0.195000009262,2012-12-05 15:00:00,6.99493141578,KENNEDY,KENNEDY,32
161,0.323000015342,2012-12-05 15:30:00,49.5763358919,CARVAJAL,KENNEDY,32
162,0.359000017052,2012-12-07 14:50:00,16.6281450824,FERIAS,KENNEDY,48
163,0.277000013157,2012-12-08 16:00:00,69.3787431998,FERIAS,KENNEDY,10
164,0.286000013584,2012-12-09 14:40:00,50.907855301,KENNEDY,KENNEDY,10
165,0.13600000646,2012-12-11 14:50:00,25.0716576989,SANCRISTOBAL,KENNEDY,10
166,0.455000021611,2012-12-12 15:10:00,0.873113620573,KENNEDY,KENNEDY,47
167,0.224000010639,2012-12-16 15:10:00,44.7394041438,USAQUEN,KENNEDY,27
168,0.135000006412,2012-12-17 15:50:00,41.5845251966,USAQUEN,KENNEDY,33
169,0.373000017717,2012-12-19 15:40:00,46.6321841602,FERIAS,KENNEDY,24
170,0.13600000646,2012-12-20 14:20:00,74.8892395619,SANCRISTOBAL,KENNEDY,15
171,0.166000007885,2012-12-21 15:00:00,5.61399527217,KENNEDY,KENNEDY,38
172,0.155000007362,2012-12-21 15:30:00,41.1945313162,SANCRISTOBAL,KENNEDY,38
173,0.373000017717,2012-12-25 14:40:00,45.0215395423,KENNEDY,KENNEDY,29
174,0.0930000044173,2012-12-28 15:10:00,11.9555189473,TUNAL,KENNEDY,13
175,0.293000013917,2012-12-30 15:20:00,15.9204730491,CARVAJAL,KENNEDY,11
176,0.0730000034673,2012-12-31 15:40:00,74.6600718065,USAQUEN,KENNEDY,13
