ESTACION,LATITUD,LONGITUD
USAQUEN,4.70939,-74.03199
FERIAS,4.6906,-74.08256
PARQUE,4.658466667,-74.08396667
KENNEDY,4.6249,-74.16135
CARVAJAL,4.5958,-74.14855
TUNAL,4.57619,-74.13093
SANCRISTOBAL,4.5725,-74.0836
