,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
146687,2012.0,2.0,7.0,15.0,17.0,30.0,5.20115375519,-74.5981826782,0.18000000855,0.18000000855,1.0,3.0
146688,2012.0,2.0,7.0,15.0,17.0,30.0,5.19618940353,-74.5629653931,0.158000007505,0.158000007505,1.0,3.0
146689,2012.0,2.0,7.0,15.0,17.0,30.0,5.19116640091,-74.5273361206,0.153000007267,0.153000007267,1.0,3.0
146690,2012.0,2.0,7.0,15.0,17.0,30.0,5.18616056442,-74.4918441772,0.126000005985,0.126000005985,1.0,3.0
146691,2012.0,2.0,7.0,15.0,17.0,30.0,5.18114233017,-74.4562759399,0.16800000798,0.16800000798,1.0,3.0
147141,2012.0,2.0,7.0,15.0,17.0,31.0,5.15557909012,-74.4956893921,0.13600000646,0.13600000646,1.0,3.0
147592,2012.0,2.0,7.0,15.0,17.0,31.0,5.13763713837,-74.5041732788,0.179000008502,0.179000008502,1.0,3.0
