,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
258911,2012.0,1.0,1.0,14.0,59.0,21.0,5.192735672,-73.7134017944,0.0300000014249,0.0300000014249,1.0,3.0
258912,2012.0,1.0,1.0,14.0,59.0,21.0,5.18376111984,-73.6484375,0.0860000040848,0.0860000040848,1.0,3.0
259357,2012.0,1.0,1.0,14.0,59.0,21.0,5.1986989975,-74.0685195923,0.0360000017099,0.0360000017099,1.0,3.0
259358,2012.0,1.0,1.0,14.0,59.0,21.0,5.188372612,-73.9914627075,0.0470000022324,0.0470000022324,1.0,3.0
259360,2012.0,1.0,1.0,14.0,59.0,21.0,5.17019701004,-73.8561630249,0.0420000019949,0.0420000019949,1.0,3.0
259361,2012.0,1.0,1.0,14.0,59.0,21.0,5.16088247299,-73.7869033813,0.0330000015674,0.0330000015674,1.0,3.0
259362,2012.0,1.0,1.0,14.0,59.0,21.0,5.15194320679,-73.7205123901,0.0510000024224,0.0510000024224,1.0,3.0
259807,2012.0,1.0,1.0,14.0,59.0,23.0,5.1680893898,-74.1635437012,0.0610000028973,0.0610000028973,1.0,3.0
259808,2012.0,1.0,1.0,14.0,59.0,23.0,5.15699005127,-74.0780944824,0.0440000020899,0.0440000020899,1.0,3.0
259811,2012.0,1.0,1.0,14.0,59.0,23.0,5.12915802002,-73.8651580811,0.0280000013299,0.0280000013299,1.0,3.0
259812,2012.0,1.0,1.0,14.0,59.0,23.0,5.11977386475,-73.7934494019,0.0230000010924,0.0230000010924,1.0,3.0
259813,2012.0,1.0,1.0,14.0,59.0,23.0,5.11111164093,-73.7274627686,0.0470000022324,0.0470000022324,1.0,3.0
260257,2012.0,1.0,1.0,14.0,59.0,23.0,5.1893825531,-74.2467346191,0.0820000038948,0.0820000038948,1.0,3.0
260258,2012.0,1.0,1.0,14.0,59.0,23.0,5.17831802368,-74.1670532227,0.0720000034198,0.0720000034198,1.0,3.0
260259,2012.0,1.0,1.0,14.0,59.0,23.0,5.16690301895,-74.0849609375,0.0590000028023,0.0590000028023,1.0,3.0
260262,2012.0,1.0,1.0,14.0,59.0,23.0,5.1369805336,-73.8698348999,0.0600000028498,0.0600000028498,1.0,3.0
260263,2012.0,1.0,1.0,14.0,59.0,23.0,5.12692117691,-73.797668457,0.0490000023274,0.0490000023274,1.0,3.0
260704,2012.0,1.0,1.0,14.0,59.0,23.0,5.18924570084,-74.5692977905,0.129000006127,0.129000006127,1.0,3.0
260705,2012.0,1.0,1.0,14.0,59.0,23.0,5.17851257324,-74.4895477295,0.110000005225,0.110000005225,1.0,3.0
260707,2012.0,1.0,1.0,14.0,59.0,23.0,5.15678834915,-74.3283691406,0.0950000045123,0.0950000045123,1.0,3.0
260709,2012.0,1.0,1.0,14.0,59.0,23.0,5.13546323776,-74.1704788208,0.0690000032773,0.0690000032773,1.0,3.0
