,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
85315,2012.0,8.0,26.0,15.0,11.0,32.0,5.20114803314,-74.5604629517,0.16800000798,0.16800000798,1.0,3.0
85316,2012.0,8.0,26.0,15.0,11.0,32.0,5.19506025314,-74.5157775879,0.171000008122,0.171000008122,1.0,3.0
85317,2012.0,8.0,26.0,15.0,11.0,32.0,5.18893718719,-74.4708480835,0.13600000646,0.13600000646,1.0,3.0
85768,2012.0,8.0,26.0,15.0,11.0,32.0,5.1795592308,-74.4786224365,0.19600000931,0.19600000931,1.0,3.0
97946,2012.0,8.0,26.0,15.0,11.0,44.0,4.44908571243,-74.584602356,0.269000012777,0.269000012777,1.0,3.0
98848,2012.0,8.0,26.0,15.0,11.0,45.0,4.38069915771,-74.5916976929,0.224000010639,0.224000010639,1.0,3.0
99299,2012.0,8.0,26.0,15.0,11.0,45.0,4.37098503113,-74.5993804932,0.215000010212,0.215000010212,1.0,3.0
100653,2012.0,8.0,26.0,15.0,11.0,47.0,4.28682327271,-74.5720901489,0.283000013442,0.283000013442,1.0,3.0
100654,2012.0,8.0,26.0,15.0,11.0,47.0,4.28051185608,-74.5286712646,0.295000014012,0.295000014012,1.0,3.0
101105,2012.0,8.0,26.0,15.0,11.0,47.0,4.24687337875,-74.5343475342,0.361000017147,0.361000017147,1.0,3.0
