,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
53957,2012.0,9.0,7.0,15.0,36.0,1.0,5.20774269104,-74.0534744263,0.0880000041798,0.0880000041798,1.0,3.0
54402,2012.0,9.0,7.0,15.0,36.0,1.0,5.20822572708,-74.230506897,0.0460000021849,0.0460000021849,1.0,3.0
54403,2012.0,9.0,7.0,15.0,36.0,1.0,5.2040476799,-74.2025146484,0.0370000017574,0.0370000017574,1.0,3.0
54404,2012.0,9.0,7.0,15.0,36.0,1.0,5.19992828369,-74.1750183105,0.0490000023274,0.0490000023274,1.0,3.0
54405,2012.0,9.0,7.0,15.0,36.0,1.0,5.19570589066,-74.146697998,0.0340000016149,0.0340000016149,1.0,3.0
54406,2012.0,9.0,7.0,15.0,36.0,1.0,5.19144248962,-74.1180648804,0.0490000023274,0.0490000023274,1.0,3.0
54847,2012.0,9.0,7.0,15.0,36.0,1.0,5.20592784882,-74.4038696289,0.122000005795,0.122000005795,1.0,3.0
54848,2012.0,9.0,7.0,15.0,36.0,1.0,5.20177173615,-74.3761291504,0.10000000475,0.10000000475,1.0,3.0
54849,2012.0,9.0,7.0,15.0,36.0,1.0,5.19766283035,-74.3487319946,0.0920000043698,0.0920000043698,1.0,3.0
54850,2012.0,9.0,7.0,15.0,36.0,1.0,5.19345760345,-74.3206558228,0.0850000040373,0.0850000040373,1.0,3.0
54851,2012.0,9.0,7.0,15.0,36.0,1.0,5.18914079666,-74.2917938232,0.0520000024699,0.0520000024699,1.0,3.0
54852,2012.0,9.0,7.0,15.0,36.0,1.0,5.18484354019,-74.2630844116,0.0470000022324,0.0470000022324,1.0,3.0
54853,2012.0,9.0,7.0,15.0,36.0,1.0,5.18061971664,-74.2349090576,0.0390000018524,0.0390000018524,1.0,3.0
54854,2012.0,9.0,7.0,15.0,36.0,1.0,5.1763420105,-74.2063598633,0.0270000012824,0.0270000012824,1.0,3.0
54855,2012.0,9.0,7.0,15.0,36.0,1.0,5.17202091217,-74.177520752,0.0280000013299,0.0280000013299,1.0,3.0
54857,2012.0,9.0,7.0,15.0,36.0,1.0,5.16356468201,-74.1211929321,0.00800000037998,0.00800000037998,1.0,3.0
55292,2012.0,9.0,7.0,15.0,36.0,1.0,5.20364093781,-74.5754776001,0.0630000029923,0.0630000029923,1.0,3.0
55293,2012.0,9.0,7.0,15.0,36.0,1.0,5.19956684113,-74.548324585,0.0980000046548,0.0980000046548,1.0,3.0
55294,2012.0,9.0,7.0,15.0,36.0,1.0,5.19526100159,-74.5197296143,0.0170000008075,0.0170000008075,1.0,3.0
55295,2012.0,9.0,7.0,15.0,36.0,1.0,5.19101905823,-74.4915390015,0.0610000028973,0.0610000028973,1.0,3.0
55296,2012.0,9.0,7.0,15.0,36.0,1.0,5.18681812286,-74.4636077881,0.0640000030398,0.0640000030398,1.0,3.0
55297,2012.0,9.0,7.0,15.0,36.0,1.0,5.1826467514,-74.4358825684,0.113000005367,0.113000005367,1.0,3.0
55298,2012.0,9.0,7.0,15.0,36.0,1.0,5.17848777771,-74.4082336426,0.127000006032,0.127000006032,1.0,3.0
55299,2012.0,9.0,7.0,15.0,36.0,1.0,5.17423057556,-74.3799743652,0.0950000045123,0.0950000045123,1.0,3.0
55300,2012.0,9.0,7.0,15.0,36.0,1.0,5.17014837265,-74.3528289795,0.117000005557,0.117000005557,1.0,3.0
55301,2012.0,9.0,7.0,15.0,36.0,1.0,5.16582489014,-74.3241653442,0.0820000038948,0.0820000038948,1.0,3.0
55302,2012.0,9.0,7.0,15.0,36.0,1.0,5.16145467758,-74.2952194214,0.0610000028973,0.0610000028973,1.0,3.0
55303,2012.0,9.0,7.0,15.0,36.0,1.0,5.15724945068,-74.2673187256,0.0530000025174,0.0530000025174,1.0,3.0
55304,2012.0,9.0,7.0,15.0,36.0,1.0,5.15311717987,-74.2398834229,0.0370000017574,0.0370000017574,1.0,3.0
55305,2012.0,9.0,7.0,15.0,36.0,1.0,5.14878511429,-74.2111968994,0.0130000006175,0.0130000006175,1.0,3.0
55306,2012.0,9.0,7.0,15.0,36.0,1.0,5.1445016861,-74.1828231812,0.0,0.0,1.0,3.0
55743,2012.0,9.0,7.0,15.0,36.0,2.0,5.17826795578,-74.5855636597,0.0430000020424,0.0430000020424,1.0,3.0
55744,2012.0,9.0,7.0,15.0,36.0,2.0,5.17417764664,-74.5580673218,0.0380000018049,0.0380000018049,1.0,3.0
55745,2012.0,9.0,7.0,15.0,36.0,2.0,5.17006158829,-74.5303344727,0.0480000022799,0.0480000022799,1.0,3.0
55746,2012.0,9.0,7.0,15.0,36.0,2.0,5.16589403152,-74.5021591187,0.0110000005225,0.0110000005225,1.0,3.0
55747,2012.0,9.0,7.0,15.0,36.0,2.0,5.16171884537,-74.4739379883,0.139000006602,0.139000006602,1.0,3.0
55748,2012.0,9.0,7.0,15.0,36.0,2.0,5.15760612488,-74.4463043213,0.181000008597,0.181000008597,1.0,3.0
55749,2012.0,9.0,7.0,15.0,36.0,2.0,5.15345287323,-74.4183197021,0.166000007885,0.166000007885,1.0,3.0
55750,2012.0,9.0,7.0,15.0,36.0,2.0,5.14923381805,-74.3897705078,0.13600000646,0.13600000646,1.0,3.0
55751,2012.0,9.0,7.0,15.0,36.0,2.0,5.14505672455,-74.361618042,0.119000005652,0.119000005652,1.0,3.0
55752,2012.0,9.0,7.0,15.0,36.0,2.0,5.14085865021,-74.3332977295,0.0830000039423,0.0830000039423,1.0,3.0
55753,2012.0,9.0,7.0,15.0,36.0,2.0,5.13666296005,-74.3050308228,0.0570000027074,0.0570000027074,1.0,3.0
55754,2012.0,9.0,7.0,15.0,36.0,2.0,5.13249254227,-74.2769927979,0.0230000010924,0.0230000010924,1.0,3.0
55755,2012.0,9.0,7.0,15.0,36.0,2.0,5.12832641602,-74.2490158081,0.0330000015674,0.0330000015674,1.0,3.0
55756,2012.0,9.0,7.0,15.0,36.0,2.0,5.12428188324,-74.2220993042,0.0660000031348,0.0660000031348,1.0,3.0
55757,2012.0,9.0,7.0,15.0,36.0,2.0,5.12002849579,-74.193397522,0.0410000019474,0.0410000019474,1.0,3.0
55758,2012.0,9.0,7.0,15.0,36.0,2.0,5.11570119858,-74.1640853882,0.0270000012824,0.0270000012824,1.0,3.0
55760,2012.0,9.0,7.0,15.0,36.0,2.0,5.10734605789,-74.1080780029,0.0660000031348,0.0660000031348,1.0,3.0
55762,2012.0,9.0,7.0,15.0,36.0,2.0,5.09894943237,-74.0517807007,0.11600000551,0.11600000551,1.0,3.0
56194,2012.0,9.0,7.0,15.0,36.0,2.0,5.15096855164,-74.5899581909,0.0380000018049,0.0380000018049,1.0,3.0
56195,2012.0,9.0,7.0,15.0,36.0,2.0,5.14688444138,-74.5626220703,0.0380000018049,0.0380000018049,1.0,3.0
56196,2012.0,9.0,7.0,15.0,36.0,2.0,5.14273405075,-74.5347900391,0.0480000022799,0.0480000022799,1.0,3.0
56197,2012.0,9.0,7.0,15.0,36.0,2.0,5.13848638535,-74.5062332153,-0.00200000009499,-0.00200000009499,1.0,3.0
