,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
61156,2012.0,7.0,21.0,15.0,36.0,7.0,4.90927028656,-74.5871353149,0.18800000893,0.18800000893,1.0,3.0
61159,2012.0,7.0,21.0,15.0,36.0,7.0,4.89666604996,-74.5031509399,0.269000012777,0.269000012777,1.0,3.0
61607,2012.0,7.0,21.0,15.0,36.0,8.0,4.88201713562,-74.5915298462,0.157000007457,0.157000007457,1.0,3.0
61608,2012.0,7.0,21.0,15.0,36.0,8.0,4.87776708603,-74.5634155273,0.147000006982,0.147000006982,1.0,3.0
61609,2012.0,7.0,21.0,15.0,36.0,8.0,4.87345552444,-74.5349502563,0.151000007172,0.151000007172,1.0,3.0
61611,2012.0,7.0,21.0,15.0,36.0,8.0,4.86508083344,-74.4794540405,0.194000009215,0.194000009215,1.0,3.0
61612,2012.0,7.0,21.0,15.0,36.0,8.0,4.86099004745,-74.4522781372,0.208000009879,0.208000009879,1.0,3.0
62059,2012.0,7.0,21.0,15.0,36.0,8.0,4.85242700577,-74.5737304688,0.170000008075,0.170000008075,1.0,3.0
62061,2012.0,7.0,21.0,15.0,36.0,8.0,4.84404039383,-74.5172653198,0.170000008075,0.170000008075,1.0,3.0
62062,2012.0,7.0,21.0,15.0,36.0,8.0,4.8399477005,-74.4898681641,0.189000008977,0.189000008977,1.0,3.0
62063,2012.0,7.0,21.0,15.0,36.0,8.0,4.83586215973,-74.4625396729,0.203000009642,0.203000009642,1.0,3.0
62510,2012.0,7.0,21.0,15.0,36.0,8.0,4.82516765594,-74.5783004761,0.153000007267,0.153000007267,1.0,3.0
62511,2012.0,7.0,21.0,15.0,36.0,8.0,4.82098150253,-74.5503311157,0.15200000722,0.15200000722,1.0,3.0
62512,2012.0,7.0,21.0,15.0,36.0,8.0,4.81664180756,-74.5213241577,0.146000006935,0.146000006935,1.0,3.0
