,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
120288,2012.0,9.0,14.0,15.0,42.0,6.0,5.20677089691,-74.5048294067,0.312000014819,0.312000014819,1.0,3.0
120289,2012.0,9.0,14.0,15.0,42.0,6.0,5.20167160034,-74.4718933105,0.341000016197,0.341000016197,1.0,3.0
120301,2012.0,9.0,14.0,15.0,42.0,6.0,5.14033222198,-74.0763778687,0.234000011114,0.234000011114,1.0,3.0
120737,2012.0,9.0,14.0,15.0,42.0,6.0,5.1964058876,-74.5792694092,0.413000019616,0.413000019616,1.0,3.0
120739,2012.0,9.0,14.0,15.0,42.0,6.0,5.18670511246,-74.5147399902,0.443000021041,0.443000021041,1.0,3.0
120740,2012.0,9.0,14.0,15.0,42.0,6.0,5.18168830872,-74.4813079834,0.555000026361,0.555000026361,1.0,3.0
121188,2012.0,9.0,14.0,15.0,42.0,6.0,5.16708755493,-74.5843276978,0.287000013632,0.287000013632,1.0,3.0
121206,2012.0,9.0,14.0,15.0,42.0,6.0,5.07549190521,-73.9837646484,0.305000014487,0.305000014487,1.0,3.0
121639,2012.0,9.0,14.0,15.0,42.0,8.0,5.13782596588,-74.5896453857,0.271000012872,0.271000012872,1.0,3.0
121640,2012.0,9.0,14.0,15.0,42.0,8.0,5.13292074203,-74.557762146,0.443000021041,0.443000021041,1.0,3.0
121659,2012.0,9.0,14.0,15.0,42.0,8.0,5.03405618668,-73.9181137085,0.264000012539,0.264000012539,1.0,3.0
122090,2012.0,9.0,14.0,15.0,42.0,8.0,5.11720323563,-74.5989151001,0.281000013347,0.281000013347,1.0,3.0
122091,2012.0,9.0,14.0,15.0,42.0,8.0,5.11261367798,-74.5684204102,0.416000019759,0.416000019759,1.0,3.0
122543,2012.0,9.0,14.0,15.0,42.0,8.0,5.07847309113,-74.5418014526,0.415000019711,0.415000019711,1.0,3.0
126602,2012.0,9.0,14.0,15.0,42.0,12.0,4.84042406082,-74.5948257446,0.364000017289,0.364000017289,1.0,3.0
127053,2012.0,9.0,14.0,15.0,42.0,12.0,4.81085443497,-74.5986785889,0.383000018192,0.383000018192,1.0,3.0
129329,2012.0,9.0,14.0,15.0,42.0,15.0,4.56051492691,-73.9034042358,0.388000018429,0.388000018429,1.0,3.0
129780,2012.0,9.0,14.0,15.0,42.0,15.0,4.54358720779,-73.9108657837,0.453000021516,0.453000021516,1.0,3.0
130663,2012.0,9.0,14.0,15.0,42.0,17.0,4.58237743378,-74.5734024048,0.505000023986,0.505000023986,1.0,3.0
131114,2012.0,9.0,14.0,15.0,42.0,17.0,4.56231307983,-74.5819854736,0.378000017954,0.378000017954,1.0,3.0
131115,2012.0,9.0,14.0,15.0,42.0,17.0,4.55750179291,-74.5498046875,0.524000024889,0.524000024889,1.0,3.0
131565,2012.0,9.0,14.0,15.0,42.0,17.0,4.53260469437,-74.5861282349,0.377000017907,0.377000017907,1.0,3.0
131566,2012.0,9.0,14.0,15.0,42.0,17.0,4.52771186829,-74.5537643433,0.385000018287,0.385000018287,1.0,3.0
132016,2012.0,9.0,14.0,15.0,42.0,17.0,4.50295495987,-74.5906906128,0.394000018714,0.394000018714,1.0,3.0
132017,2012.0,9.0,14.0,15.0,42.0,17.0,4.49789333344,-74.5576019287,0.409000019426,0.409000019426,1.0,3.0
132468,2012.0,9.0,14.0,15.0,42.0,18.0,4.47839593887,-74.5680770874,0.414000019664,0.414000019664,1.0,3.0
132469,2012.0,9.0,14.0,15.0,42.0,18.0,4.47330570221,-74.5336227417,0.402000019094,0.402000019094,1.0,3.0
