,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
155258,2012.0,9.0,2.0,15.0,17.0,40.0,5.20810365677,-74.5586853027,0.122000005795,0.122000005795,1.0,3.0
155259,2012.0,9.0,2.0,15.0,17.0,40.0,5.20284461975,-74.5220031738,0.197000009357,0.197000009357,1.0,3.0
155260,2012.0,9.0,2.0,15.0,17.0,40.0,5.1982293129,-74.4897003174,0.174000008265,0.174000008265,1.0,3.0
155261,2012.0,9.0,2.0,15.0,17.0,40.0,5.19314479828,-74.454246521,0.174000008265,0.174000008265,1.0,3.0
155262,2012.0,9.0,2.0,15.0,17.0,40.0,5.18804311752,-74.4186859131,0.257000012207,0.257000012207,1.0,3.0
155263,2012.0,9.0,2.0,15.0,17.0,40.0,5.18296337128,-74.3832931519,0.273000012967,0.273000012967,1.0,3.0
155708,2012.0,9.0,2.0,15.0,17.0,40.0,5.18261909485,-74.5991744995,0.0860000040848,0.0860000040848,1.0,3.0
155709,2012.0,9.0,2.0,15.0,17.0,40.0,5.17756462097,-74.5633087158,0.0920000043698,0.0920000043698,1.0,3.0
155710,2012.0,9.0,2.0,15.0,17.0,40.0,5.17246723175,-74.5271377563,0.178000008455,0.178000008455,1.0,3.0
155711,2012.0,9.0,2.0,15.0,17.0,40.0,5.16766691208,-74.4931488037,0.13200000627,0.13200000627,1.0,3.0
155712,2012.0,9.0,2.0,15.0,17.0,40.0,5.1625752449,-74.4570465088,0.246000011684,0.246000011684,1.0,3.0
155713,2012.0,9.0,2.0,15.0,17.0,40.0,5.15764141083,-74.4221115112,0.258000012254,0.258000012254,1.0,3.0
155714,2012.0,9.0,2.0,15.0,17.0,40.0,5.15271949768,-74.3872756958,0.316000015009,0.316000015009,1.0,3.0
156161,2012.0,9.0,2.0,15.0,17.0,42.0,5.1417889595,-74.5300750732,0.157000007457,0.157000007457,1.0,3.0
156162,2012.0,9.0,2.0,15.0,17.0,42.0,5.13716363907,-74.496925354,0.139000006602,0.139000006602,1.0,3.0
156163,2012.0,9.0,2.0,15.0,17.0,42.0,5.13223028183,-74.4613876343,0.242000011494,0.242000011494,1.0,3.0
156614,2012.0,9.0,2.0,15.0,17.0,42.0,5.11358356476,-74.4684906006,0.336000015959,0.336000015959,1.0,3.0
156615,2012.0,9.0,2.0,15.0,17.0,42.0,5.1089053154,-74.4359359741,0.349000016577,0.349000016577,1.0,3.0
