,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
53039,2012.0,11.0,26.0,15.0,35.0,59.0,5.19757652283,-74.4772720337,0.303000014392,0.303000014392,1.0,3.0
53040,2012.0,11.0,26.0,15.0,35.0,59.0,5.19342136383,-74.4494400024,0.305000014487,0.305000014487,1.0,3.0
53944,2012.0,11.0,26.0,15.0,36.0,1.0,5.13016366959,-74.401725769,0.331000015722,0.331000015722,1.0,3.0
55296,2012.0,11.0,26.0,15.0,36.0,1.0,5.05437088013,-74.4480361938,0.424000020139,0.424000020139,1.0,3.0
55298,2012.0,11.0,26.0,15.0,36.0,1.0,5.04590559006,-74.3919067383,0.395000018761,0.395000018761,1.0,3.0
56198,2012.0,11.0,26.0,15.0,36.0,2.0,5.00160646439,-74.4618759155,0.544000025839,0.544000025839,1.0,3.0
57551,2012.0,11.0,26.0,15.0,36.0,4.0,4.92171430588,-74.4812164307,0.437000020756,0.437000020756,1.0,3.0
57552,2012.0,11.0,26.0,15.0,36.0,4.0,4.91754579544,-74.4532699585,0.426000020234,0.426000020234,1.0,3.0
58001,2012.0,11.0,26.0,15.0,36.0,4.0,4.89843082428,-74.5127029419,0.501000023796,0.501000023796,1.0,3.0
67928,2012.0,11.0,26.0,15.0,36.0,14.0,4.28884744644,-74.499786377,0.598000028403,0.598000028403,1.0,3.0
68378,2012.0,11.0,26.0,15.0,36.0,14.0,4.26550149918,-74.5319824219,0.665000031586,0.665000031586,1.0,3.0
