,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
14410,2012.0,1.0,23.0,16.0,0.0,20.0,5.18691492081,-73.6570205688,0.0950000045123,0.0950000045123,1.0,3.0
14861,2012.0,1.0,23.0,16.0,0.0,20.0,5.1417427063,-73.6624603271,0.0920000043698,0.0920000043698,1.0,3.0
15763,2012.0,1.0,23.0,16.0,0.0,22.0,5.11348342896,-73.674407959,0.0910000043223,0.0910000043223,1.0,3.0
19370,2012.0,1.0,23.0,16.0,0.0,25.0,4.89101982117,-73.8085784912,0.0700000033248,0.0700000033248,1.0,3.0
19821,2012.0,1.0,23.0,16.0,0.0,26.0,4.90650463104,-73.8109893799,0.0860000040848,0.0860000040848,1.0,3.0
