,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
162037,2012.0,1.0,6.0,15.0,17.0,47.0,5.02313518524,-74.1210403442,0.420000019949,0.420000019949,1.0,3.0
162943,2012.0,1.0,6.0,15.0,17.0,47.0,4.95456647873,-74.0053024292,0.686000032583,0.686000032583,1.0,3.0
163380,2012.0,1.0,6.0,15.0,17.0,47.0,4.99255895615,-74.4853668213,0.663000031491,0.663000031491,1.0,3.0
163393,2012.0,1.0,6.0,15.0,17.0,47.0,4.92987680435,-74.0417327881,0.562000026694,0.562000026694,1.0,3.0
164744,2012.0,1.0,6.0,15.0,17.0,48.0,4.85977697372,-74.1245422363,0.550000026124,0.550000026124,1.0,3.0
