,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
208095,2012.0,11.0,12.0,15.0,23.0,32.0,5.17731809616,-73.8141708374,0.253000012017,0.253000012017,1.0,3.0
208097,2012.0,11.0,12.0,15.0,23.0,32.0,5.16920518875,-73.7587432861,0.209000009927,0.209000009927,1.0,3.0
208546,2012.0,11.0,12.0,15.0,23.0,32.0,5.15011358261,-73.8178939819,0.200000009499,0.200000009499,1.0,3.0
208547,2012.0,11.0,12.0,15.0,23.0,32.0,5.14609909058,-73.7902984619,0.147000006982,0.147000006982,1.0,3.0
208548,2012.0,11.0,12.0,15.0,23.0,32.0,5.14206409454,-73.7625579834,0.14000000665,0.14000000665,1.0,3.0
208549,2012.0,11.0,12.0,15.0,23.0,32.0,5.13813638687,-73.7356491089,0.182000008645,0.182000008645,1.0,3.0
208550,2012.0,11.0,12.0,15.0,23.0,32.0,5.13413333893,-73.7081680298,0.206000009784,0.206000009784,1.0,3.0
208551,2012.0,11.0,12.0,15.0,23.0,32.0,5.13013601303,-73.6807403564,0.174000008265,0.174000008265,1.0,3.0
208997,2012.0,11.0,12.0,15.0,23.0,33.0,5.12417936325,-73.82787323,0.195000009262,0.195000009262,1.0,3.0
208998,2012.0,11.0,12.0,15.0,23.0,33.0,5.12012958527,-73.8003845215,0.131000006222,0.131000006222,1.0,3.0
208999,2012.0,11.0,12.0,15.0,23.0,33.0,5.11603927612,-73.7726974487,0.155000007362,0.155000007362,1.0,3.0
209002,2012.0,11.0,12.0,15.0,23.0,33.0,5.10395002365,-73.6906433105,0.183000008692,0.183000008692,1.0,3.0
209005,2012.0,11.0,12.0,15.0,23.0,33.0,5.0919470787,-73.6091384888,0.278000013204,0.278000013204,1.0,3.0
209448,2012.0,11.0,12.0,15.0,23.0,33.0,5.09702730179,-73.8319549561,0.259000012302,0.259000012302,1.0,3.0
209450,2012.0,11.0,12.0,15.0,23.0,33.0,5.08896350861,-73.7769546509,0.19600000931,0.19600000931,1.0,3.0
209451,2012.0,11.0,12.0,15.0,23.0,33.0,5.08488273621,-73.749168396,0.238000011304,0.238000011304,1.0,3.0
212153,2012.0,11.0,12.0,15.0,23.0,36.0,4.94049358368,-73.8945083618,0.269000012777,0.269000012777,1.0,3.0
212607,2012.0,11.0,12.0,15.0,23.0,36.0,4.90122652054,-73.8159866333,0.195000009262,0.195000009262,1.0,3.0
213056,2012.0,11.0,12.0,15.0,23.0,36.0,4.88212394714,-73.8751296997,0.276000013109,0.276000013109,1.0,3.0
213057,2012.0,11.0,12.0,15.0,23.0,36.0,4.87809944153,-73.8474807739,0.229000010877,0.229000010877,1.0,3.0
213058,2012.0,11.0,12.0,15.0,23.0,36.0,4.87403821945,-73.8195495605,0.245000011637,0.245000011637,1.0,3.0
213506,2012.0,11.0,12.0,15.0,23.0,38.0,4.86040782928,-73.9127578735,0.237000011257,0.237000011257,1.0,3.0
213508,2012.0,11.0,12.0,15.0,23.0,38.0,4.85224819183,-73.8574676514,0.227000010782,0.227000010782,1.0,3.0
213509,2012.0,11.0,12.0,15.0,23.0,38.0,4.84809589386,-73.8294677734,0.281000013347,0.281000013347,1.0,3.0
213959,2012.0,11.0,12.0,15.0,23.0,38.0,4.82503175735,-73.8610534668,0.283000013442,0.283000013442,1.0,3.0
213963,2012.0,11.0,12.0,15.0,23.0,38.0,4.80896854401,-73.7515869141,0.379000018002,0.379000018002,1.0,3.0
214410,2012.0,11.0,12.0,15.0,23.0,38.0,4.79783582687,-73.8646774292,0.307000014582,0.307000014582,1.0,3.0
218920,2012.0,11.0,12.0,15.0,23.0,42.0,4.53003883362,-73.9232559204,0.540000025649,0.540000025649,1.0,3.0
219370,2012.0,11.0,12.0,15.0,23.0,44.0,4.50668668747,-73.95337677,0.493000023416,0.493000023416,1.0,3.0
223885,2012.0,11.0,12.0,15.0,23.0,48.0,4.21907091141,-73.8751907349,0.693000032916,0.693000032916,1.0,3.0
