,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
209901,2012.0,1.0,29.0,15.0,23.0,32.0,5.16063833237,-73.7826385498,0.307000014582,0.307000014582,1.0,3.0
210335,2012.0,1.0,29.0,15.0,23.0,33.0,5.20260477066,-74.2666473389,0.359000017052,0.359000017052,1.0,3.0
210336,2012.0,1.0,29.0,15.0,23.0,33.0,5.19849538803,-74.237991333,0.308000014629,0.308000014629,1.0,3.0
210337,2012.0,1.0,29.0,15.0,23.0,33.0,5.19437122345,-74.2092208862,0.261000012397,0.261000012397,1.0,3.0
210338,2012.0,1.0,29.0,15.0,23.0,33.0,5.19013214111,-74.1794891357,0.279000013252,0.279000013252,1.0,3.0
210779,2012.0,1.0,29.0,15.0,23.0,33.0,5.20746469498,-74.4794464111,0.432000020519,0.432000020519,1.0,3.0
210780,2012.0,1.0,29.0,15.0,23.0,33.0,5.20319080353,-74.4501800537,0.387000018382,0.387000018382,1.0,3.0
210781,2012.0,1.0,29.0,15.0,23.0,33.0,5.19896745682,-74.4212341309,0.422000020044,0.422000020044,1.0,3.0
210786,2012.0,1.0,29.0,15.0,23.0,33.0,5.17762088776,-74.2753295898,0.346000016434,0.346000016434,1.0,3.0
211227,2012.0,1.0,29.0,15.0,23.0,33.0,5.19228839874,-74.571685791,0.463000021991,0.463000021991,1.0,3.0
211228,2012.0,1.0,29.0,15.0,23.0,33.0,5.18801307678,-74.5420913696,0.443000021041,0.443000021041,1.0,3.0
211229,2012.0,1.0,29.0,15.0,23.0,33.0,5.18370676041,-74.512298584,0.441000020946,0.441000020946,1.0,3.0
211230,2012.0,1.0,29.0,15.0,23.0,33.0,5.17955684662,-74.4835968018,0.382000018144,0.382000018144,1.0,3.0
211231,2012.0,1.0,29.0,15.0,23.0,33.0,5.17527770996,-74.4540100098,0.390000018524,0.390000018524,1.0,3.0
211232,2012.0,1.0,29.0,15.0,23.0,33.0,5.17106437683,-74.4248962402,0.415000019711,0.415000019711,1.0,3.0
211236,2012.0,1.0,29.0,15.0,23.0,33.0,5.15426063538,-74.308883667,0.288000013679,0.288000013679,1.0,3.0
211237,2012.0,1.0,29.0,15.0,23.0,33.0,5.14999294281,-74.2794494629,0.320000015199,0.320000015199,1.0,3.0
211240,2012.0,1.0,29.0,15.0,23.0,33.0,5.13739681244,-74.1926345825,0.315000014962,0.315000014962,1.0,3.0
211241,2012.0,1.0,29.0,15.0,23.0,33.0,5.13334798813,-74.1647491455,0.336000015959,0.336000015959,1.0,3.0
211242,2012.0,1.0,29.0,15.0,23.0,33.0,5.12915325165,-74.1358718872,0.356000016909,0.356000016909,1.0,3.0
211243,2012.0,1.0,29.0,15.0,23.0,33.0,5.12499952316,-74.1072845459,0.333000015817,0.333000015817,1.0,3.0
211681,2012.0,1.0,29.0,15.0,23.0,35.0,5.15156555176,-74.4871444702,0.384000018239,0.384000018239,1.0,3.0
211682,2012.0,1.0,29.0,15.0,23.0,35.0,5.14736223221,-74.4578018188,0.361000017147,0.361000017147,1.0,3.0
211683,2012.0,1.0,29.0,15.0,23.0,35.0,5.1431388855,-74.4283065796,0.363000017242,0.363000017242,1.0,3.0
211684,2012.0,1.0,29.0,15.0,23.0,35.0,5.13902997971,-74.3997192383,0.323000015342,0.323000015342,1.0,3.0
211685,2012.0,1.0,29.0,15.0,23.0,35.0,5.13483381271,-74.3704528809,0.312000014819,0.312000014819,1.0,3.0
211687,2012.0,1.0,29.0,15.0,23.0,35.0,5.12652254105,-74.3125762939,0.317000015057,0.317000015057,1.0,3.0
212132,2012.0,1.0,29.0,15.0,23.0,35.0,5.1275229454,-74.4970245361,0.357000016957,0.357000016957,1.0,3.0
212134,2012.0,1.0,29.0,15.0,23.0,35.0,5.11902523041,-74.4389724731,0.338000016054,0.338000016054,1.0,3.0
212135,2012.0,1.0,29.0,15.0,23.0,35.0,5.11476039886,-74.4098739624,0.346000016434,0.346000016434,1.0,3.0
212136,2012.0,1.0,29.0,15.0,23.0,35.0,5.11041879654,-74.3803405762,0.379000018002,0.379000018002,1.0,3.0
212139,2012.0,1.0,29.0,15.0,23.0,35.0,5.09774637222,-74.2939147949,0.307000014582,0.307000014582,1.0,3.0
