,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
21244,2012.0,7.0,18.0,15.0,5.0,29.0,5.08680725098,-74.5867156982,0.207000009832,0.207000009832,1.0,3.0
22146,2012.0,7.0,18.0,15.0,5.0,31.0,5.00872421265,-74.5963439941,0.157000007457,0.157000007457,1.0,3.0
23049,2012.0,7.0,18.0,15.0,5.0,31.0,4.96314096451,-74.5440826416,0.197000009357,0.197000009357,1.0,3.0
23500,2012.0,7.0,18.0,15.0,5.0,31.0,4.9243106842,-74.548789978,0.174000008265,0.174000008265,1.0,3.0
23951,2012.0,7.0,18.0,15.0,5.0,32.0,4.92565584183,-74.5537643433,0.215000010212,0.215000010212,1.0,3.0
24402,2012.0,7.0,18.0,15.0,5.0,32.0,4.88700580597,-74.5597076416,0.225000010687,0.225000010687,1.0,3.0
25756,2012.0,7.0,18.0,15.0,5.0,34.0,4.80291032791,-74.5182571411,0.247000011732,0.247000011732,1.0,3.0
26207,2012.0,7.0,18.0,15.0,5.0,34.0,4.76463079453,-74.5255813599,0.252000011969,0.252000011969,1.0,3.0
26658,2012.0,7.0,18.0,15.0,5.0,35.0,4.72626113892,-74.5324249268,0.233000011067,0.233000011067,1.0,3.0
27109,2012.0,7.0,18.0,15.0,5.0,35.0,4.72720718384,-74.5375595093,0.249000011827,0.249000011827,1.0,3.0
27560,2012.0,7.0,18.0,15.0,5.0,35.0,4.68878412247,-74.5439605713,0.222000010544,0.222000010544,1.0,3.0
28011,2012.0,7.0,18.0,15.0,5.0,35.0,4.65046024323,-74.5512161255,0.181000008597,0.181000008597,1.0,3.0
28462,2012.0,7.0,18.0,15.0,5.0,37.0,4.65170955658,-74.5574417114,0.197000009357,0.197000009357,1.0,3.0
28464,2012.0,7.0,18.0,15.0,5.0,37.0,4.63484048843,-74.4399795532,0.292000013869,0.292000013869,1.0,3.0
28913,2012.0,7.0,18.0,15.0,5.0,37.0,4.61337280273,-74.5645751953,0.185000008787,0.185000008787,1.0,3.0
29364,2012.0,7.0,18.0,15.0,5.0,37.0,4.57518053055,-74.5729446411,0.151000007172,0.151000007172,1.0,3.0
29815,2012.0,7.0,18.0,15.0,5.0,38.0,4.53652763367,-74.5780563354,0.145000006887,0.145000006887,1.0,3.0
30266,2012.0,7.0,18.0,15.0,5.0,38.0,4.53768396378,-74.5840530396,0.170000008075,0.170000008075,1.0,3.0
30717,2012.0,7.0,18.0,15.0,5.0,38.0,4.49902296066,-74.5891113281,0.178000008455,0.178000008455,1.0,3.0
31168,2012.0,7.0,18.0,15.0,5.0,39.0,4.46046733856,-74.5949707031,0.19200000912,0.19200000912,1.0,3.0
31169,2012.0,7.0,18.0,15.0,5.0,39.0,4.4524140358,-74.5352554321,0.230000010924,0.230000010924,1.0,3.0
31620,2012.0,7.0,18.0,15.0,5.0,39.0,4.45346260071,-74.5420455933,0.245000011637,0.245000011637,1.0,3.0
32071,2012.0,7.0,18.0,15.0,5.0,39.0,4.41507720947,-74.5476989746,0.249000011827,0.249000011827,1.0,3.0
32973,2012.0,7.0,18.0,15.0,5.0,41.0,4.37643194199,-74.5535583496,0.282000013394,0.282000013394,1.0,3.0
33875,2012.0,7.0,18.0,15.0,5.0,41.0,4.29993581772,-74.5664672852,0.284000013489,0.284000013489,1.0,3.0
34777,2012.0,7.0,18.0,15.0,5.0,42.0,4.26287841797,-74.5807266235,0.362000017194,0.362000017194,1.0,3.0
