,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
20344,2012.0,12.0,9.0,15.0,5.0,27.0,5.04510259628,-74.446937561,0.244000011589,0.244000011589,1.0,3.0
30717,2012.0,12.0,9.0,15.0,5.0,37.0,4.43626070023,-74.5779190063,0.286000013584,0.286000013584,1.0,3.0
33424,2012.0,12.0,9.0,15.0,5.0,40.0,4.27565050125,-74.5500640869,0.307000014582,0.307000014582,1.0,3.0
33875,2012.0,12.0,9.0,15.0,5.0,40.0,4.23695230484,-74.5534515381,0.293000013917,0.293000013917,1.0,3.0
33876,2012.0,12.0,9.0,15.0,5.0,40.0,4.22897052765,-74.4955596924,0.342000016244,0.342000016244,1.0,3.0
