,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
12239,2012.0,8.0,3.0,15.0,5.0,19.0,5.11205911636,-73.682434082,0.333000015817,0.333000015817,1.0,3.0
12676,2012.0,8.0,3.0,15.0,5.0,19.0,5.18497657776,-74.4819717407,0.216000010259,0.216000010259,1.0,3.0
12677,2012.0,8.0,3.0,15.0,5.0,19.0,5.17637109756,-74.4190216064,0.290000013774,0.290000013774,1.0,3.0
13127,2012.0,8.0,3.0,15.0,5.0,20.0,5.14581394196,-74.484664917,0.215000010212,0.215000010212,1.0,3.0
13128,2012.0,8.0,3.0,15.0,5.0,20.0,5.13765239716,-74.4234619141,0.262000012444,0.262000012444,1.0,3.0
13578,2012.0,8.0,3.0,15.0,5.0,20.0,5.14751958847,-74.4911575317,0.220000010449,0.220000010449,1.0,3.0
13579,2012.0,8.0,3.0,15.0,5.0,20.0,5.13880681992,-74.4295654297,0.315000014962,0.315000014962,1.0,3.0
14030,2012.0,8.0,3.0,15.0,5.0,20.0,5.10020780563,-74.4348831177,0.326000015484,0.326000015484,1.0,3.0
14481,2012.0,8.0,3.0,15.0,5.0,20.0,5.06170463562,-74.4409332275,0.278000013204,0.278000013204,1.0,3.0
14932,2012.0,8.0,3.0,15.0,5.0,22.0,5.06321382523,-74.4483718872,0.282000013394,0.282000013394,1.0,3.0
15383,2012.0,8.0,3.0,15.0,5.0,22.0,5.02451181412,-74.4530563354,0.344000016339,0.344000016339,1.0,3.0
15384,2012.0,8.0,3.0,15.0,5.0,22.0,5.01556301117,-74.388923645,0.388000018429,0.388000018429,1.0,3.0
