,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
261156,2012.0,5.0,8.0,14.0,59.0,23.0,5.17493438721,-74.44190979,0.147000006982,0.147000006982,1.0,3.0
261607,2012.0,5.0,8.0,14.0,59.0,23.0,5.18853235245,-74.4480895996,0.154000007315,0.154000007315,1.0,3.0
262058,2012.0,5.0,8.0,14.0,59.0,23.0,5.14440584183,-74.4507904053,0.179000008502,0.179000008502,1.0,3.0
263864,2012.0,5.0,8.0,14.0,59.0,25.0,5.0051279068,-74.3128662109,0.205000009737,0.205000009737,1.0,3.0
266121,2012.0,5.0,8.0,14.0,59.0,28.0,4.87611532211,-74.1722869873,0.243000011542,0.243000011542,1.0,3.0
270176,2012.0,5.0,8.0,14.0,59.0,32.0,4.64286661148,-74.5482788086,0.233000011067,0.233000011067,1.0,3.0
