,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
51694,2012.0,8.0,22.0,15.0,35.0,58.0,5.19705677032,-74.2642745972,0.504000023939,0.504000023939,1.0,3.0
52137,2012.0,8.0,22.0,15.0,35.0,58.0,5.20316362381,-74.4925918579,0.239000011352,0.239000011352,1.0,3.0
52140,2012.0,8.0,22.0,15.0,35.0,58.0,5.19062757492,-74.4090957642,0.363000017242,0.363000017242,1.0,3.0
52144,2012.0,8.0,22.0,15.0,35.0,58.0,5.1737279892,-74.2966842651,0.303000014392,0.303000014392,1.0,3.0
52585,2012.0,8.0,22.0,15.0,35.0,59.0,5.18838262558,-74.5802078247,0.15600000741,0.15600000741,1.0,3.0
52586,2012.0,8.0,22.0,15.0,35.0,59.0,5.18424606323,-74.5527267456,0.288000013679,0.288000013679,1.0,3.0
53036,2012.0,8.0,22.0,15.0,35.0,59.0,5.162961483,-74.5905151367,0.0860000040848,0.0860000040848,1.0,3.0
53487,2012.0,8.0,22.0,15.0,35.0,59.0,5.13568258286,-74.5948028564,0.0660000031348,0.0660000031348,1.0,3.0
53488,2012.0,8.0,22.0,15.0,35.0,59.0,5.1316447258,-74.5678482056,0.14400000684,0.14400000684,1.0,3.0
53938,2012.0,8.0,22.0,15.0,36.0,1.0,5.10842370987,-74.5991210938,0.0700000033248,0.0700000033248,1.0,3.0
53939,2012.0,8.0,22.0,15.0,36.0,1.0,5.10439538956,-74.5722503662,0.181000008597,0.181000008597,1.0,3.0
54390,2012.0,8.0,22.0,15.0,36.0,1.0,5.07869911194,-74.5816040039,0.198000009404,0.198000009404,1.0,3.0
57548,2012.0,8.0,22.0,15.0,36.0,4.0,4.88698863983,-74.5941925049,0.292000013869,0.292000013869,1.0,3.0
