,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
276239,2012.0,11.0,3.0,15.0,29.0,39.0,5.10676908493,-74.1811981201,0.458000021754,0.458000021754,1.0,3.0
276240,2012.0,11.0,3.0,15.0,29.0,39.0,5.10282421112,-74.1545562744,0.406000019284,0.406000019284,1.0,3.0
280315,2012.0,11.0,3.0,15.0,29.0,43.0,4.79815101624,-73.7808837891,0.647000030731,0.647000030731,1.0,3.0
280763,2012.0,11.0,3.0,15.0,29.0,43.0,4.78334856033,-73.8652648926,0.616000029258,0.616000029258,1.0,3.0
282123,2012.0,11.0,3.0,15.0,29.0,44.0,4.67502212524,-73.6951980591,0.678000032203,0.678000032203,1.0,3.0
283469,2012.0,11.0,3.0,15.0,29.0,46.0,4.62246704102,-73.9003067017,0.564000026789,0.564000026789,1.0,3.0
284371,2012.0,11.0,3.0,15.0,29.0,47.0,4.56896257401,-73.9142608643,0.493000023416,0.493000023416,1.0,3.0
284822,2012.0,11.0,3.0,15.0,29.0,47.0,4.54214429855,-73.9181289673,0.522000024794,0.522000024794,1.0,3.0
286616,2012.0,11.0,3.0,15.0,29.0,49.0,4.47456264496,-74.2069778442,0.401000019046,0.401000019046,1.0,3.0
287968,2012.0,11.0,3.0,15.0,29.0,50.0,4.39816379547,-74.2515258789,0.418000019854,0.418000019854,1.0,3.0
287981,2012.0,11.0,3.0,15.0,29.0,50.0,4.34656620026,-73.9038314819,0.578000027454,0.578000027454,1.0,3.0
288414,2012.0,11.0,3.0,15.0,29.0,52.0,4.39108324051,-74.3883285522,1.00100004754,1.00100004754,1.0,3.0
290665,2012.0,11.0,3.0,15.0,29.0,53.0,4.27287817001,-74.5268707275,0.627000029781,0.627000029781,1.0,3.0
291116,2012.0,11.0,3.0,15.0,29.0,53.0,4.24606370926,-74.5307235718,0.459000021801,0.459000021801,1.0,3.0
291117,2012.0,11.0,3.0,15.0,29.0,53.0,4.24211645126,-74.5040054321,0.361000017147,0.361000017147,1.0,3.0
291118,2012.0,11.0,3.0,15.0,29.0,53.0,4.23816919327,-74.4772949219,0.354000016814,0.354000016814,1.0,3.0
