,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
212580,2012.0,4.0,2.0,15.0,23.0,36.0,5.18842601776,-74.5569992065,0.366000017384,0.366000017384,1.0,3.0
214384,2012.0,4.0,2.0,15.0,23.0,37.0,5.07998800278,-74.5757904053,0.328000015579,0.328000015579,1.0,3.0
214835,2012.0,4.0,2.0,15.0,23.0,39.0,5.05203866959,-74.5802001953,0.261000012397,0.261000012397,1.0,3.0
215289,2012.0,4.0,2.0,15.0,23.0,39.0,5.01547670364,-74.5031814575,0.379000018002,0.379000018002,1.0,3.0
215740,2012.0,4.0,2.0,15.0,23.0,39.0,4.98758935928,-74.5072860718,0.325000015437,0.325000015437,1.0,3.0
215741,2012.0,4.0,2.0,15.0,23.0,39.0,4.9833984375,-74.4783477783,0.270000012824,0.270000012824,1.0,3.0
215742,2012.0,4.0,2.0,15.0,23.0,39.0,4.97912359238,-74.4488372803,0.305000014487,0.305000014487,1.0,3.0
216191,2012.0,4.0,2.0,15.0,23.0,40.0,4.95956850052,-74.5103988647,0.276000013109,0.276000013109,1.0,3.0
216192,2012.0,4.0,2.0,15.0,23.0,40.0,4.95540523529,-74.4813995361,0.279000013252,0.279000013252,1.0,3.0
216193,2012.0,4.0,2.0,15.0,23.0,40.0,4.95119857788,-74.4520797729,0.286000013584,0.286000013584,1.0,3.0
216642,2012.0,4.0,2.0,15.0,23.0,40.0,4.93526124954,-74.5200271606,0.323000015342,0.323000015342,1.0,3.0
216643,2012.0,4.0,2.0,15.0,23.0,40.0,4.93091011047,-74.4904174805,0.337000016007,0.337000016007,1.0,3.0
216644,2012.0,4.0,2.0,15.0,23.0,40.0,4.92658567429,-74.460975647,0.285000013537,0.285000013537,1.0,3.0
217093,2012.0,4.0,2.0,15.0,23.0,40.0,4.90733480453,-74.5238189697,0.323000015342,0.323000015342,1.0,3.0
217094,2012.0,4.0,2.0,15.0,23.0,40.0,4.903028965,-74.4942016602,0.296000014059,0.296000014059,1.0,3.0
217095,2012.0,4.0,2.0,15.0,23.0,40.0,4.89866828918,-74.4642333984,0.376000017859,0.376000017859,1.0,3.0
217545,2012.0,4.0,2.0,15.0,23.0,40.0,4.87515211105,-74.4979858398,0.309000014677,0.309000014677,1.0,3.0
217546,2012.0,4.0,2.0,15.0,23.0,40.0,4.87088108063,-74.4682846069,0.360000017099,0.360000017099,1.0,3.0
217995,2012.0,4.0,2.0,15.0,23.0,42.0,4.8552904129,-74.5372467041,0.322000015294,0.322000015294,1.0,3.0
217996,2012.0,4.0,2.0,15.0,23.0,42.0,4.85088348389,-74.5074157715,0.326000015484,0.326000015484,1.0,3.0
219350,2012.0,4.0,2.0,15.0,23.0,43.0,4.76328325272,-74.4909744263,0.468000022229,0.468000022229,1.0,3.0
219801,2012.0,4.0,2.0,15.0,23.0,43.0,4.73880338669,-74.500831604,0.546000025934,0.546000025934,1.0,3.0
220252,2012.0,4.0,2.0,15.0,23.0,43.0,4.71108722687,-74.5055465698,0.528000025079,0.528000025079,1.0,3.0
220703,2012.0,4.0,2.0,15.0,23.0,45.0,4.68329715729,-74.5098876953,0.526000024984,0.526000024984,1.0,3.0
220704,2012.0,4.0,2.0,15.0,23.0,45.0,4.67905902863,-74.4803466797,0.629000029876,0.629000029876,1.0,3.0
221154,2012.0,4.0,2.0,15.0,23.0,45.0,4.65908336639,-74.5199203491,0.443000021041,0.443000021041,1.0,3.0
