,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
83525,2012.0,12.0,16.0,15.0,11.0,29.0,5.20163393021,-73.8787231445,0.130000006175,0.130000006175,1.0,3.0
83526,2012.0,12.0,16.0,15.0,11.0,29.0,5.19586133957,-73.8373184204,0.118000005605,0.118000005605,1.0,3.0
83976,2012.0,12.0,16.0,15.0,11.0,31.0,5.1689696312,-73.8830413818,0.0850000040373,0.0850000040373,1.0,3.0
83978,2012.0,12.0,16.0,15.0,11.0,31.0,5.15791893005,-73.8023452759,0.10400000494,0.10400000494,1.0,3.0
84427,2012.0,12.0,16.0,15.0,11.0,31.0,5.15620088577,-73.892288208,0.129000006127,0.129000006127,1.0,3.0
84429,2012.0,12.0,16.0,15.0,11.0,31.0,5.14447593689,-73.8103942871,0.0880000041798,0.0880000041798,1.0,3.0
84432,2012.0,12.0,16.0,15.0,11.0,31.0,5.12765073776,-73.6928787231,0.207000009832,0.207000009832,1.0,3.0
86227,2012.0,12.0,16.0,15.0,11.0,32.0,5.06816625595,-74.0761184692,0.193000009167,0.193000009167,1.0,3.0
86230,2012.0,12.0,16.0,15.0,11.0,32.0,5.05128622055,-73.9565734863,0.300000014249,0.300000014249,1.0,3.0
88488,2012.0,12.0,16.0,15.0,11.0,35.0,4.89068508148,-73.8599090576,0.224000010639,0.224000010639,1.0,3.0
89375,2012.0,12.0,16.0,15.0,11.0,35.0,4.93581438065,-74.5224685669,0.237000011257,0.237000011257,1.0,3.0
