,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
295174,2012.0,7.0,14.0,15.0,29.0,57.0,5.19856071472,-74.4110794067,0.390000018524,0.390000018524,1.0,3.0
295175,2012.0,7.0,14.0,15.0,29.0,57.0,5.19459962845,-74.3843078613,0.314000014914,0.314000014914,1.0,3.0
295625,2012.0,7.0,14.0,15.0,29.0,57.0,5.17175579071,-74.4148788452,0.477000022656,0.477000022656,1.0,3.0
295630,2012.0,7.0,14.0,15.0,29.0,57.0,5.15205335617,-74.2813491821,0.300000014249,0.300000014249,1.0,3.0
296980,2012.0,7.0,14.0,15.0,29.0,58.0,5.08354568481,-74.3793792725,0.393000018666,0.393000018666,1.0,3.0
297428,2012.0,7.0,14.0,15.0,30.0,0.0,5.0685749054,-74.4634094238,0.367000017432,0.367000017432,1.0,3.0
297429,2012.0,7.0,14.0,15.0,30.0,0.0,5.06463813782,-74.4366912842,0.373000017717,0.373000017717,1.0,3.0
297433,2012.0,7.0,14.0,15.0,30.0,0.0,5.04888963699,-74.3298568726,0.252000011969,0.252000011969,1.0,3.0
297878,2012.0,7.0,14.0,15.0,30.0,0.0,5.04560089111,-74.4999237061,0.362000017194,0.362000017194,1.0,3.0
298329,2012.0,7.0,14.0,15.0,30.0,0.0,5.01881456375,-74.5037918091,0.335000015912,0.335000015912,1.0,3.0
298336,2012.0,7.0,14.0,15.0,30.0,0.0,4.99122476578,-74.3168945312,0.317000015057,0.317000015057,1.0,3.0
298780,2012.0,7.0,14.0,15.0,30.0,0.0,4.99201631546,-74.5076446533,0.367000017432,0.367000017432,1.0,3.0
298781,2012.0,7.0,14.0,15.0,30.0,0.0,4.98808145523,-74.4809494019,0.270000012824,0.270000012824,1.0,3.0
298783,2012.0,7.0,14.0,15.0,30.0,0.0,4.98020505905,-74.427482605,0.306000014534,0.306000014534,1.0,3.0
299228,2012.0,7.0,14.0,15.0,30.0,1.0,4.97715473175,-74.5981521606,0.434000020614,0.434000020614,1.0,3.0
299231,2012.0,7.0,14.0,15.0,30.0,1.0,4.96531295776,-74.5179443359,0.383000018192,0.383000018192,1.0,3.0
299232,2012.0,7.0,14.0,15.0,30.0,1.0,4.96135616302,-74.4911956787,0.376000017859,0.376000017859,1.0,3.0
299233,2012.0,7.0,14.0,15.0,30.0,1.0,4.95741796494,-74.4645080566,0.407000019331,0.407000019331,1.0,3.0
299234,2012.0,7.0,14.0,15.0,30.0,1.0,4.95344209671,-74.4377441406,0.354000016814,0.354000016814,1.0,3.0
299682,2012.0,7.0,14.0,15.0,30.0,1.0,4.93850231171,-74.521736145,0.413000019616,0.413000019616,1.0,3.0
299683,2012.0,7.0,14.0,15.0,30.0,1.0,4.93455266953,-74.4949951172,0.430000020424,0.430000020424,1.0,3.0
299684,2012.0,7.0,14.0,15.0,30.0,1.0,4.93059253693,-74.4682235718,0.432000020519,0.432000020519,1.0,3.0
299695,2012.0,7.0,14.0,15.0,30.0,1.0,4.88724994659,-74.1751403809,0.255000012112,0.255000012112,1.0,3.0
300133,2012.0,7.0,14.0,15.0,30.0,1.0,4.91170358658,-74.5255355835,0.419000019901,0.419000019901,1.0,3.0
306022,2012.0,7.0,14.0,15.0,30.0,7.0,4.46056270599,-73.9060897827,0.353000016767,0.353000016767,1.0,3.0
306030,2012.0,7.0,14.0,15.0,30.0,7.0,4.42858219147,-73.6909408569,0.339000016102,0.339000016102,1.0,3.0
306471,1992.0,12.0,31.0,23.0,59.0,59.0,4.44177770615,-73.964012146,0.281000013347,0.281000013347,1.0,3.0
306472,1992.0,12.0,31.0,23.0,59.0,59.0,4.43775033951,-73.9370117188,0.294000013964,0.294000013964,1.0,3.0
306481,1992.0,12.0,31.0,23.0,59.0,59.0,4.40156888962,-73.6944046021,0.264000012539,0.264000012539,1.0,3.0
