,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
198352,2012.0,4.0,30.0,15.0,48.0,21.0,5.17106485367,-74.4973449707,0.523000024841,0.523000024841,1.0,3.0
198353,2012.0,4.0,30.0,15.0,48.0,21.0,5.16468429565,-74.4567947388,0.412000019569,0.412000019569,1.0,3.0
198801,2012.0,4.0,30.0,15.0,48.0,21.0,5.17137145996,-74.5871810913,0.466000022134,0.466000022134,1.0,3.0
199252,2012.0,4.0,30.0,15.0,48.0,21.0,5.13886165619,-74.5936355591,0.619000029401,0.619000029401,1.0,3.0
199253,2012.0,4.0,30.0,15.0,48.0,21.0,5.13277196884,-74.5540390015,0.510000024224,0.510000024224,1.0,3.0
199703,2012.0,4.0,30.0,15.0,48.0,21.0,5.10633468628,-74.5998306274,0.538000025554,0.538000025554,1.0,3.0
210089,2012.0,4.0,30.0,15.0,48.0,32.0,4.41067552567,-74.1964645386,0.647000030731,0.647000030731,1.0,3.0
211445,2012.0,4.0,30.0,15.0,48.0,33.0,4.31203889847,-74.0780792236,0.605000028736,0.605000028736,1.0,3.0
