,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
86233,2012.0,2.0,16.0,15.0,11.0,30.0,5.20425081253,-73.8617782593,0.266000012634,0.266000012634,1.0,3.0
87593,2012.0,2.0,16.0,15.0,11.0,32.0,5.08713388443,-73.6073455811,0.253000012017,0.253000012017,1.0,3.0
88023,2012.0,2.0,16.0,15.0,11.0,32.0,5.17813444138,-74.494178772,0.465000022086,0.465000022086,1.0,3.0
88024,2012.0,2.0,16.0,15.0,11.0,32.0,5.17181491852,-74.4484786987,0.473000022466,0.473000022466,1.0,3.0
88485,2012.0,2.0,16.0,15.0,11.0,33.0,5.07746315002,-74.0090332031,0.18400000874,0.18400000874,1.0,3.0
88486,2012.0,2.0,16.0,15.0,11.0,33.0,5.07216501236,-73.970413208,0.249000011827,0.249000011827,1.0,3.0
88923,2012.0,2.0,16.0,15.0,11.0,33.0,5.14753055573,-74.5969543457,0.550000026124,0.550000026124,1.0,3.0
89386,2012.0,2.0,16.0,15.0,11.0,33.0,5.03806495667,-74.0643386841,0.251000011922,0.251000011922,1.0,3.0
89835,2012.0,2.0,16.0,15.0,11.0,35.0,5.0164513588,-74.1507110596,0.209000009927,0.209000009927,1.0,3.0
89837,2012.0,2.0,16.0,15.0,11.0,35.0,5.00529289246,-74.0696334839,0.194000009215,0.194000009215,1.0,3.0
90287,2012.0,2.0,16.0,15.0,11.0,35.0,4.99851703644,-74.1173706055,0.127000006032,0.127000006032,1.0,3.0
90288,2012.0,2.0,16.0,15.0,11.0,35.0,4.9927110672,-74.0769577026,0.16800000798,0.16800000798,1.0,3.0
91189,2012.0,2.0,16.0,15.0,11.0,35.0,4.93269824982,-74.1274490356,0.183000008692,0.183000008692,1.0,3.0
91652,2012.0,2.0,16.0,15.0,11.0,36.0,4.85177898407,-73.6607208252,0.19200000912,0.19200000912,1.0,3.0
92092,2012.0,2.0,16.0,15.0,11.0,36.0,4.88201093674,-74.100402832,0.189000008977,0.189000008977,1.0,3.0
92102,2012.0,2.0,16.0,15.0,11.0,36.0,4.82519817352,-73.7017745972,0.145000006887,0.145000006887,1.0,3.0
92103,2012.0,2.0,16.0,15.0,11.0,36.0,4.82006978989,-73.6658248901,0.155000007362,0.155000007362,1.0,3.0
92543,2012.0,2.0,16.0,15.0,11.0,36.0,4.84904336929,-74.1043624878,0.217000010307,0.217000010307,1.0,3.0
92547,2012.0,2.0,16.0,15.0,11.0,36.0,4.82626390457,-73.9413452148,0.238000011304,0.238000011304,1.0,3.0
92548,2012.0,2.0,16.0,15.0,11.0,36.0,4.82048177719,-73.9000015259,0.133000006317,0.133000006317,1.0,3.0
92552,2012.0,2.0,16.0,15.0,11.0,36.0,4.79853487015,-73.7434005737,0.18800000893,0.18800000893,1.0,3.0
92553,2012.0,2.0,16.0,15.0,11.0,36.0,4.79339599609,-73.7068252563,0.12400000589,0.12400000589,1.0,3.0
92554,2012.0,2.0,16.0,15.0,11.0,36.0,4.78779125214,-73.6668701172,0.143000006792,0.143000006792,1.0,3.0
92997,2012.0,2.0,16.0,15.0,11.0,38.0,4.79917669296,-73.9849395752,0.161000007647,0.161000007647,1.0,3.0
92999,2012.0,2.0,16.0,15.0,11.0,38.0,4.78787517548,-73.9025192261,0.105000004987,0.105000004987,1.0,3.0
93446,2012.0,2.0,16.0,15.0,11.0,38.0,4.79780578613,-74.0759506226,0.317000015057,0.317000015057,1.0,3.0
93449,2012.0,2.0,16.0,15.0,11.0,38.0,4.78023719788,-73.9534225464,0.123000005842,0.123000005842,1.0,3.0
93450,2012.0,2.0,16.0,15.0,11.0,38.0,4.77389192581,-73.9093322754,0.11600000551,0.11600000551,1.0,3.0
93900,2012.0,2.0,16.0,15.0,11.0,38.0,4.74764966965,-73.9570236206,0.142000006745,0.142000006745,1.0,3.0
