,Year,Month,Day,Hour,Minute,Second,Latitude,Longitude,Optical_Depth_Land_And_Ocean,Image_Optical_Depth_Land_And_Ocean,Land_sea_Flag,Land_Ocean_Quality_Flag
114899,2012.0,11.0,17.0,15.0,42.0,0.0,5.09889364243,-73.6627426147,0.314000014914,0.314000014914,1.0,3.0
115776,2012.0,11.0,17.0,15.0,42.0,2.0,5.16986703873,-74.5272140503,0.406000019284,0.406000019284,1.0,3.0
115782,2012.0,11.0,17.0,15.0,42.0,2.0,5.13925552368,-74.329864502,0.502000023844,0.502000023844,1.0,3.0
118936,2012.0,11.0,17.0,15.0,42.0,5.0,4.97602939606,-74.4745101929,0.438000020804,0.438000020804,1.0,3.0
122110,2012.0,11.0,17.0,15.0,42.0,7.0,4.70175170898,-73.9403610229,0.398000018904,0.398000018904,1.0,3.0
124367,2012.0,11.0,17.0,15.0,42.0,9.0,4.54982948303,-73.8920593262,0.317000015057,0.317000015057,1.0,3.0
124818,2012.0,11.0,17.0,15.0,42.0,10.0,4.51853942871,-73.8942108154,0.289000013727,0.289000013727,1.0,3.0
124819,2012.0,11.0,17.0,15.0,42.0,10.0,4.5130982399,-73.8592681885,0.293000013917,0.293000013917,1.0,3.0
125268,2012.0,11.0,17.0,15.0,42.0,10.0,4.50758457184,-73.9429016113,0.336000015959,0.336000015959,1.0,3.0
125269,2012.0,11.0,17.0,15.0,42.0,10.0,4.50147247314,-73.9019775391,0.290000013774,0.290000013774,1.0,3.0
125719,2012.0,11.0,17.0,15.0,42.0,10.0,4.47636556625,-73.9447021484,0.322000015294,0.322000015294,1.0,3.0
125720,2012.0,11.0,17.0,15.0,42.0,10.0,4.4705529213,-73.9066162109,0.328000015579,0.328000015579,1.0,3.0
127074,2012.0,11.0,17.0,15.0,42.0,12.0,4.38652896881,-73.890586853,0.395000018761,0.395000018761,1.0,3.0
127526,2012.0,11.0,17.0,15.0,42.0,12.0,4.3496055603,-73.8567199707,0.349000016577,0.349000016577,1.0,3.0
