,code,dist,distc,prob,lmean,dmean,hmean,bmean,alt,name,muni,qind,clno
0,21205400.0,0.0,20.0,631.0,52.0,10.0,77.0,4.0,2580.0,Checua-Nemocon,Nemocon,7.3,2
1,21201410.0,7.0,28.0,10.0,66.0,0.0,0.0,0.0,2600.0,Acandy,Nemocon,1.0,2
2,21201620.0,7.0,20.0,135.0,59.0,10.0,0.0,0.0,2575.0,Suesca,Suesca,4.9,2
3,24015210.0,14.0,6.0,73.0,57.0,10.0,0.0,0.0,2700.0,Sutatausa,Sutatausa,4.0,2
4,24010140.0,18.0,6.0,67.0,57.0,9.0,0.0,0.0,2620.0,Cucunuba,Cucunuba,3.9,2
5,24011080.0,19.0,7.0,202.0,51.0,5.0,0.0,0.0,2562.0,Cucunuba 1,Cucunuba,5.6,2
6,24015110.0,20.0,5.0,202.0,62.0,12.0,0.0,0.0,2610.0,Boyera La Automati,Villa de San Diego de Ubate,5.6,2
7,24011090.0,24.0,4.0,202.0,62.0,13.0,0.0,0.0,2555.0,Ubate Gja,Villa de San Diego de Ubate,5.6,2
8,24010280.0,26.0,9.0,202.0,57.0,10.0,0.0,0.0,2585.0,Tapias,Lenguazaque,5.6,2
9,24010610.0,26.0,12.0,202.0,54.0,12.0,0.0,0.0,2970.0,Carmen de Carupa,Carmen de Carupa,5.6,2
10,24010070.0,27.0,10.0,101.0,63.0,12.0,0.0,0.0,2650.0,Leticia,Lenguazaque,4.5,2
11,24010440.0,29.0,11.0,202.0,60.0,8.0,0.0,0.0,3130.0,Tres Esquinas,Susa,5.6,2
12,24010170.0,35.0,16.0,81.0,73.0,10.0,0.0,0.0,2690.0,Guacheta,Guacheta,4.2,2
13,24011060.0,39.0,18.0,61.0,83.0,12.0,0.0,0.0,2600.0,Susa,Susa,3.7,2
14,24015130.0,42.0,23.0,101.0,67.0,11.0,0.0,0.0,2572.0,Simijaca,Simijaca,4.5,2
