CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
27010800,PM,Meseta La Sn Pedro,Bello,Antioquia,2600,"75°36'26.0""W","6°23'59.0""N",6,6,10,14,17,14,14,13,17,20,17,11,158
27015090,CO,Tulio Ospina,Bello,Antioquia,1438,"75°33'9.0""W","6°19'16.0""N",8,9,15,20,21,17,17,17,20,23,18,11,197
27010870,PM,Belmira,Belmira,Antioquia,2540,"75°40'6.0""W","6°36'33.0""N",9,10,16,18,20,15,16,15,18,20,19,13,188
26230220,PM,Oculta La,Belmira,Antioquia,2300,"75°38'18.9""W","6°46'45.8""N",11,11,16,20,22,18,18,18,20,24,21,15,214
26190090,PM,Betania-Las Guacas,Betania,Antioquia,1580,"75°58'31.9""W","5°45'18.0""N",12,13,16,20,23,18,18,18,20,23,20,15,215
26210140,PM,Altamira,Betulia,Antioquia,1792,"75°56'43.8""W","6°13'6.7""N",6,8,10,14,16,13,12,12,16,16,14,9,145
26230160,PG,Briceno,Brice#O,Antioquia,1440,"75°30'42.0""W","7°6'19.0""N",12,14,16,23,26,24,25,24,24,25,22,16,251
26225040,CO,Piunti Hda,Buritica,Antioquia,1650,"75°54'46.7""W","6°43'46.2""N",6,8,11,17,20,16,16,16,19,21,18,10,178
26250030,PM,Caceres,Caceres,Antioquia,95,"75°20'52.2""W","7°34'44.6""N",4,5,6,12,17,16,17,17,16,16,13,9,150
26240100,PM,Guarumo-La Lucha,Caceres,Antioquia,70,"75°12'53.7""W","7°51'46.5""N",3,4,5,11,16,17,16,17,16,16,13,8,142
26240060,PM,Manizales,Caceres,Antioquia,75,"75°24'54.0""W","7°50'12.0""N",2,3,4,9,14,14,14,14,14,14,10,6,118
26240090,PM,Pto Belgica,Caceres,Antioquia,80,"75°17'4.0""W","7°40'5.9""N",3,4,6,12,16,14,15,16,14,15,13,6,132
26210070,PM,Caicedo,Caicedo,Antioquia,1725,"75°58'52.6""W","6°24'21.5""N",7,8,11,15,18,14,12,13,16,18,15,9,157
27015260,AM,Salada La,Caldas,Antioquia,1680,"75°37'28.9""W","6°2'54.1""N",13,14,19,22,23,19,17,19,22,25,23,17,234
11115020,CO,Canasgordas,Canasgordas,Antioquia,1200,"76°1'47.0""W","6°45'29.0""N",11,10,13,19,21,17,17,16,20,24,21,14,204
26170180,PM,Caramanta,Caramanta,Antioquia,2072,"75°38'28.7""W","5°32'52.2""N",9,11,14,17,17,12,12,12,16,18,18,12,168
12015070,SP,Apto Los Cedros,Carepa,Antioquia,19,"76°43'4.2""W","7°49'0.0""N",10,10,13,19,23,23,23,23,22,22,19,16,223
12010050,PM,Toscana La,Carepa,Antioquia,35,"76°42'11.0""W","7°48'29.0""N",5,4,6,10,13,14,13,13,14,14,12,10,126
12010090,PM,Trigana,Carepa,Antioquia,18,"76°42'42.8""W","7°44'51.6""N",5,4,6,10,13,15,15,15,13,13,12,10,129
12015060,CO,Tulenapa,Carepa,Antioquia,30,"76°39'27.0""W","7°46'26.3""N",9,7,10,16,21,22,21,22,21,21,19,14,204
26255040,CP,Cacaoteras del Diq,Caucasia,Antioquia,55,"75°7'0.0""W","7°59'0.0""N",4,5,6,14,19,18,19,20,19,20,15,8,166
27045020,CO,Caseri,Caucasia,Antioquia,400,"74°56'1.4""W","7°48'32.4""N",5,7,7,14,18,18,19,21,20,22,18,11,179
25021390,PM,Caucasia,Caucasia,Antioquia,70,"75°12'0.0""W","8°0'0.0""N",2,4,5,11,15,15,16,17,16,15,11,5,133
26240160,PM,Coquera La,Caucasia,Antioquia,500,"75°11'45.0""W","7°57'44.0""N",2,3,4,9,14,14,16,17,15,16,12,5,127
27040030,PM,Esmeralda La,Caucasia,Antioquia,100,"74°51'11.0""W","7°45'4.0""N",4,5,6,13,17,15,16,19,17,18,17,9,157
25020530,PM,Ilusion La,Caucasia,Antioquia,143,"75°5'23.1""W","8°1'31.8""N",2,2,4,10,14,14,15,16,14,16,12,5,125
25020370,PM,Moneda La Hda,Caucasia,Antioquia,30,"74°56'32.0""W","8°2'12.0""N",2,2,4,9,13,12,14,14,13,13,12,5,113
12010030,PM,Barranquillita,Chigorodo,Antioquia,36,"76°41'51.0""W","7°34'16.0""N",5,3,5,10,16,18,18,18,16,15,14,11,151
12015090,CO,Palmera La,Chigorodo,Antioquia,58,"76°36'20.0""W","7°32'18.0""N",9,7,9,16,20,23,24,23,23,23,21,16,213
11025010,CO,Mansa La,Ciudad Bolivar,Antioquia,2100,"76°5'3.6""W","5°52'42.0""N",16,16,19,23,25,21,20,20,23,25,23,19,251
23080750,PM,Cocorna,Cocorna,Antioquia,1235,"75°10'57.4""W","6°3'12.0""N",16,15,19,22,21,17,16,17,22,25,23,20,232
23080740,PM,Concepcion,Concepcion,Antioquia,1837,"75°15'33.0""W","6°23'49.0""N",10,13,16,21,22,18,18,19,21,23,20,13,214
26215010,CO,Concordia,Concordia,Antioquia,1904,"75°55'11.0""W","6°2'23.0""N",11,13,16,21,22,19,18,18,21,23,21,15,218
26210080,PM,Herradura La,Concordia,Antioquia,547,"75°52'26.3""W","6°5'57.2""N",4,6,8,11,13,11,10,10,13,14,11,7,116
23080650,PM,Campoalegre,El Carmen de Viboral,Antioquia,2137,"75°20'8.2""W","6°4'25.6""N",11,13,15,20,21,17,17,17,20,21,17,14,204
23080790,PM,Linda La,El Carmen de Viboral,Antioquia,2620,"75°17'0.0""W","5°57'0.0""N",21,19,21,25,26,20,16,18,23,24,22,21,255
23080920,PG,Santuario,El Santuario,Antioquia,2107,"75°16'24.9""W","6°8'0.0""N",14,14,20,22,24,20,20,20,23,25,22,19,244
27010830,PM,San Isidro,Entrerrios,Antioquia,2320,"75°30'56.7""W","6°33'47.6""N",7,8,13,17,21,18,19,17,20,20,17,11,188
26200150,PM,Fredonia,Fredonia,Antioquia,1793,"75°41'6.4""W","5°56'12.3""N",11,11,14,19,18,14,13,14,17,20,19,14,183
26175040,CO,Tunez Hda,Fredonia,Antioquia,530,"75°39'3.5""W","5°48'0.7""N",9,11,13,18,19,15,14,15,18,21,18,13,183
11110030,PM,Fuemia,Frontino,Antioquia,905,"76°15'8.0""W","6°51'29.0""N",5,4,6,11,15,14,12,12,13,16,15,7,131
11115040,CO,Musinga,Frontino,Antioquia,1330,"76°11'27.0""W","6°47'13.0""N",12,12,15,22,25,23,22,22,23,25,24,19,244
11110010,PM,Normal Sta Teresa,Frontino,Antioquia,1370,"76°8'1.0""W","6°45'48.0""N",8,9,10,18,20,16,14,16,18,21,19,11,181
11110110,PG,Boqueron de Toyo,Giraldo,Antioquia,2000,"75°58'39.0""W","6°41'58.0""N",8,9,12,17,20,15,15,14,18,21,21,13,182
26220090,PM,Giraldo,Giraldo,Antioquia,1973,"75°57'26.0""W","6°41'17.0""N",5,6,9,14,15,12,11,11,14,18,13,8,137
27010820,PM,Cuchilla La,Girardota,Antioquia,1600,"75°27'13.0""W","6°22'6.0""N",6,8,12,17,19,15,15,16,19,21,15,10,172
27010900,PM,Gomez Plata,Gomez Plata,Antioquia,1850,"75°13'11.3""W","6°40'40.1""N",7,9,13,19,20,16,16,18,20,20,16,11,186
23080820,PM,Tafetanes,Granada,Antioquia,1878,"75°7'3.9""W","6°8'48.2""N",15,16,19,22,22,18,17,19,23,24,23,18,235
27010770,PM,Chuscal El,Heliconia,Antioquia,2164,"75°42'18.3""W","6°10'42.0""N",10,12,15,20,20,16,14,16,19,22,19,14,198
26220100,PM,Granja La,Ituango,Antioquia,997,"75°44'2.7""W","7°14'58.7""N",4,6,7,14,21,19,20,19,19,21,16,9,173
26220110,PG,Sta Rita,Ituango,Antioquia,1916,"75°37'0.7""W","7°19'25.5""N",7,9,10,19,22,21,21,21,20,24,22,14,210
26195030,CO,Jardin El,Jardin,Antioquia,2005,"75°48'2.0""W","5°35'15.8""N",18,17,24,26,27,22,21,21,25,27,25,21,272
26195010,CO,Miguel Valencia,Jardin,Antioquia,1570,"75°51'0.0""W","5°32'0.0""N",15,16,18,23,25,20,18,20,24,26,22,15,241
26170190,PM,Dique El,Jerico,Antioquia,898,"75°43'25.0""W","5°48'13.9""N",6,7,11,15,16,12,11,12,15,17,15,10,148
26185020,CO,Mesopotamia,La Union,Antioquia,2314,"75°19'7.1""W","5°53'10.9""N",21,20,23,25,26,22,20,21,25,26,25,22,274
26180170,PM,Union La,La Union,Antioquia,2479,"75°22'53.0""W","5°59'54.0""N",12,13,15,20,23,18,17,17,20,22,18,13,208
26230140,PM,Placita La,Liborina,Antioquia,1250,"75°45'29.0""W","6°43'15.2""N",7,10,12,20,21,16,16,15,18,20,18,11,185
23080640,PM,Marinilla,Marinilla,Antioquia,2028,"75°19'40.8""W","6°10'15.9""N",9,11,15,20,20,16,16,17,20,22,18,13,197
27015070,SP,A.Olaya Herrera,Medellin,Antioquia,1490,"75°35'20.3""W","6°13'14.2""N",12,13,18,23,23,18,17,19,22,25,21,16,227
26205080,ME,Aldea La,Medellin,Antioquia,1638,"75°42'3.1""W","6°20'27.6""N",9,11,17,21,22,18,16,17,20,23,21,14,208
27011110,PM,Astilleros,Medellin,Antioquia,2450,"75°40'33.1""W","6°15'26.3""N",9,11,16,20,20,16,15,16,19,23,20,14,198
27011120,PG,Iguana La,Medellin,Antioquia,2300,"75°39'27.1""W","6°18'58.6""N",8,10,14,18,18,16,15,15,18,20,18,11,180
27010810,PM,Sta Helena,Medellin,Antioquia,2550,"75°31'0.3""W","6°11'48.8""N",8,10,14,19,19,15,13,14,18,22,19,12,182
26180200,PM,Montebello,Montebello,Antioquia,2073,"75°32'12.6""W","5°57'3.0""N",10,11,15,18,18,14,12,13,17,22,21,14,185
12015010,CO,Villarteaga,Mutata,Antioquia,132,"76°29'0.0""W","7°21'0.0""N",11,10,12,19,25,24,24,26,25,25,24,18,244
25021480,PM,Esperanza La Radio,Nechi,Antioquia,45,"74°47'18.7""W","8°1'55.0""N",3,3,4,9,14,13,14,16,14,15,14,7,126
27030040,PM,Guamo El,Nechi,Antioquia,40,"74°48'50.4""W","7°54'15.9""N",4,4,5,9,14,13,13,14,12,14,12,7,121
