,cod,lon,lat,ele,sun,hum,pre,rai,nam,mun,dep,N
1630,35010080,73.1497222222,-3.79388888889,200,0,0,9,5,Nare,Puerto Lopez,Meta,2
1631,35010090,73.7008333333,-3.75027777778,420,0,0,9,5,San Martin,San Martin,Meta,2
1632,35015050,73.3491666667,-3.63055555556,250,3,2,9,5,Barbascal,San Martin,Meta,4
1633,35020010,73.8233333333,-4.25444444444,1300,0,0,9,5,Monterredondo,Guayabetal,Cundinamarca,2
1634,35020020,73.7716666667,-4.19611111111,1000,0,0,10,5,Susumuco,Guayabetal,Cundinamarca,2
1635,35020030,73.8,-4.11666666667,1200,0,0,10,5,Manzanares,Acacias,Meta,2
1636,35020060,73.3677777778,-4.03972222222,260,0,0,9,5,Pompeya,Villavicencio,Meta,2
1637,35020240,73.9333333333,-4.53333333333,1950,0,0,11,5,Choachi,Choachi,Cundinamarca,2
1638,35020280,73.9263888889,-4.52277777778,1950,0,0,11,5,Choachi,Choachi,Cundinamarca,2
1639,35020290,73.8902777778,-4.48638888889,1900,0,0,11,5,Fomeque,Fomeque,Cundinamarca,2
1640,35020300,74.0025,-4.25388888889,2300,0,0,11,5,Gutierrez,Gutierrez,Cundinamarca,2
1641,35020310,74.1458333333,-4.17222222222,2800,0,0,11,5,Nazareth,Bogota DC,Bogota DC,2
1642,35020340,74.05,-4.13333333333,2300,0,0,9,5,Primavera La,Gutierrez,Cundinamarca,2
1643,35020360,73.95,-4.33333333333,2250,0,0,11,0,Naranjo El,Fosca,Cundinamarca,1
1644,35020380,73.8333333333,-4.65,3090,0,0,11,2,Laguna Marranos,La Calera,Cundinamarca,2
1645,35020390,73.8666666667,-4.68333333333,2400,0,0,11,5,Mundonuevo,La Calera,Cundinamarca,2
1646,35020410,74.1333333333,-4.01666666667,2850,0,0,11,5,Pozo Llanitos,Bogota DC,Bogota DC,2
1647,35020420,74.0166666667,-4.4,2430,0,0,11,5,Une,Une,Cundinamarca,2
1648,35025020,73.4677777778,-4.05722222222,336,3,2,9,5,Libertad La,Villavicencio,Meta,4
1649,35025050,74.0302777778,-4.48277777778,2980,0,1,11,5,Llano Largo,Ubaque,Cundinamarca,3
1650,35025060,73.9813888889,-4.57527777778,3195,3,1,11,5,Bolsa La,Choachi,Cundinamarca,4
1651,35025070,74.1908333333,-4.19666666667,3150,3,1,11,5,Taques Los,Bogota DC,Bogota DC,4
1652,35030010,73.7113888889,-4.35194444444,1800,0,0,9,5,Calvario El,El Calvario,Meta,2
1653,35030020,73.6477777778,-4.31,1100,0,0,10,5,Monfort,El Calvario,Meta,2
1654,35030030,73.6394444444,-4.12722222222,425,0,0,10,5,Sena,Villavicencio,Meta,2
1655,35030040,73.6475,-4.16361111111,550,0,0,10,5,Acdto La Esmeralda,Villavicencio,Meta,2
1656,35030050,73.4486111111,-4.09111111111,300,0,0,9,5,Ojo De Agua,Villavicencio,Meta,2
1657,35030080,73.9363888889,-4.44111111111,2100,0,0,11,5,Casas Las,Caqueza,Cundinamarca,2
1658,35030090,73.6177777778,-4.27472222222,1280,0,0,4,5,Buenavista,Restrepo,Meta,2
1659,35030100,73.6333333333,-4.15,470,0,0,10,5,Alcaldia,Villavicencio,Meta,2
1660,35030120,73.7333333333,-4.56666666667,3350,0,0,9,2,Cuchilla Golillas,Fomeque,Cundinamarca,2
1661,35030160,73.75,-4.53333333333,3250,0,0,9,2,Laguna Chingaza,Fomeque,Cundinamarca,2
1662,35030170,73.7666666667,-4.55,3100,0,0,11,2,Playa La,Fomeque,Cundinamarca,2
1663,35030180,73.7666666667,-4.66666666667,3620,0,0,9,2,Laguna Seca,Fomeque,Cundinamarca,2
1664,35030230,73.7666666667,-4.38333333333,3500,0,0,9,5,Parrados San Isidr,Fomeque,Cundinamarca,2
1665,35030250,73.6833333333,-4.4,3300,0,0,9,5,Guadual El,Fomeque,Cundinamarca,2
1666,35030260,73.65,-4.48333333333,2959,0,0,2,2,San Luis,Fomeque,Cundinamarca,2
1667,35030290,73.6930555556,-4.18861111111,1091,0,0,4,5,Servita,Villavicencio,Meta,2
1668,35030300,73.5166666667,-4.45,3300,0,0,9,5,San Juanito Pvm,San Juanito,Meta,2
1669,35035020,73.6202777778,-4.16333333333,423,3,2,10,5,Apto Vanguardia,Villavicencio,Meta,4
1670,35035070,73.5819444444,-4.07666666667,340,3,2,3,5,Unillanos,Villavicencio,Meta,4
1671,35040010,73.5463888889,-4.33861111111,870,0,0,4,5,Retiro El,Medina,Cundinamarca,2
1672,35045020,73.3575,-4.30027777778,305,3,2,9,5,Cabana La Hda,Cumaral,Meta,4
1673,35050010,73.3469444444,-4.50638888889,480,0,0,9,5,Medina,Medina,Cundinamarca,2
1674,35050020,73.3958333333,-4.42305555556,426,0,0,10,5,San Juanito,Medina,Cundinamarca,2
1675,35055010,73.3011111111,-4.37694444444,280,3,2,10,5,Japon El,Paratebueno,Cundinamarca,4
1676,35060020,73.7069444444,-4.81,1965,0,0,11,5,Sueva,Junin,Cundinamarca,2
1677,35060050,73.6686111111,-4.79222222222,2323,0,0,11,5,Junin,Junin,Cundinamarca,2
1678,35060090,73.5227777778,-4.69027777778,1733,0,0,9,5,Gachala,Gachala,Cundinamarca,2
1679,35060100,73.5205555556,-4.7125,1650,0,0,9,5,Esc Tena,Gachala,Cundinamarca,2
1680,35060120,73.4705555556,-4.72305555556,1791,0,0,9,5,Vega La San Juan,Gachala,Cundinamarca,2
1681,35060130,73.4819444444,-4.675,2003,0,0,9,5,Minas Las,Gachala,Cundinamarca,2
1682,35060140,73.4447222222,-4.70472222222,2003,0,0,10,5,Palomas Las,Gachala,Cundinamarca,2
1683,35060150,73.6652777778,-4.70472222222,2878,0,0,9,5,Tembladares,Junin,Cundinamarca,2
1684,35060160,73.7691666667,-4.82861111111,2802,0,0,9,5,Potreritos,Guatavita,Cundinamarca,2
1685,35060170,73.6002777778,-4.88555555556,2502,0,0,9,5,Tasajeras,Gacheta,Cundinamarca,2
1686,35060180,73.5283333333,-4.75222222222,1929,0,0,9,5,Ubala,Ubala,Cundinamarca,2
1687,35060200,73.7452777778,-4.85777777778,2963,0,0,9,5,Amoladero El,Guatavita,Cundinamarca,2
1688,35060210,73.6413888889,-4.65,2100,0,0,9,5,Claraval,Junin,Cundinamarca,2
1689,35060220,73.4197222222,-4.81555555556,1845,0,0,9,5,Gloria La,Ubala,Cundinamarca,2
1690,35060230,73.4888888889,-4.78138888889,1943,0,0,9,5,Tres Esquinas,Ubala,Cundinamarca,2
1691,35060240,73.6097222222,-4.76416666667,2210,0,0,11,5,Gama,Gama,Cundinamarca,2
1692,35060250,73.4069444444,-4.79666666667,1649,0,0,9,5,Sta Rosa de Ubala,Ubala,Cundinamarca,2
1693,35060300,73.3919444444,-4.8525,1740,0,0,9,5,Mundo Nuevo,Ubala,Cundinamarca,2
1694,35060400,73.7333333333,-4.18333333333,3500,0,0,9,2,Barajas,Junin,Cundinamarca,2
1695,35065010,73.6463888889,-4.83027777778,1752,3,2,11,5,Gacheta,Gacheta,Cundinamarca,4
1696,35070010,73.3325,-5.39916666667,2360,0,0,11,5,Ramiriqui,Ramiriqui,Boyaca,2
1697,35070020,73.5197222222,-5.36694444444,2630,0,0,11,5,Ventaquemada,Ventaquemada,Boyaca,2
1698,35070030,73.3294444444,-5.31777777778,2400,0,0,11,5,Turmeque,Turmeque,Boyaca,2
1699,35070040,73.3958333333,-5.31527777778,2115,0,0,5,5,Tibana,Tibana,Boyaca,2
1700,35070050,73.4444444444,-5.21888888889,2300,0,0,11,5,Umbita,Umbita,Boyaca,2
1701,35070060,73.3497222222,-5.23277777778,2150,0,0,9,5,Quinchos Los,Chinavita,Boyaca,2
1702,35070070,73.3502777778,-5.16472222222,1900,0,0,9,5,Chinavita,Chinavita,Boyaca,2
1703,35070080,73.3683333333,-5.07861111111,1700,0,0,11,5,Garagoa,Garagoa,Boyaca,2
1704,35070090,73.3833333333,-5.01666666667,1550,0,0,9,5,Juntas Las,Garagoa,Boyaca,2
1705,35070100,73.4327777778,-4.98277777778,1600,0,0,11,5,Somondoco,Somondoco,Boyaca,2
1706,35070110,73.4833333333,-4.97611111111,1580,0,0,11,5,Guayata La Granja,Guayata,Boyaca,2
1707,35070120,73.3166666667,-4.96666666667,1710,0,0,9,5,Macanal,Macanal,Boyaca,2
1708,35070130,73.3130555556,-4.95138888889,1200,0,0,9,5,Quebrada Honda,Macanal,Boyaca,2
1709,35070170,73.2,-4.73333333333,400,0,0,9,5,Nazareth,Santa Maria,Boyaca,2
1710,35070180,73.2566666667,-4.86055555556,850,0,0,10,5,Sta Maria,Santa Maria,Boyaca,2
1711,35070190,73.3672222222,-4.88611111111,1850,0,0,9,5,Chivor,Chivor,Boyaca,2
1712,35070200,73.3833333333,-5.05,1600,0,0,11,5,Caracol El,Garagoa,Boyaca,2
1713,35070210,73.3955555556,-5.13916666667,2160,0,0,11,5,Pachavita,Pachavita,Boyaca,2
1714,35070220,73.3666666667,-5.41666666667,2110,0,0,11,5,Jenesano,Jenesano,Boyaca,2
1715,35070230,73.5791666667,-5.075,1815,0,0,11,5,Macheta Gja Agrop,Macheta,Cundinamarca,2
1716,35070260,73.3797222222,-4.97083333333,1954,0,0,9,5,Almeida,Almeida,Boyaca,2
1717,35070310,73.3730555556,-5.42277777778,3250,0,0,11,5,Teatinos,Samaca,Boyaca,2
1718,35070450,73.3,-4.9,1210,0,0,9,5,Sitio Presa,Santa Maria,Boyaca,2
1719,35070460,73.35,-4.98333333333,1250,0,0,9,5,Volador El,Macanal,Boyaca,2
1720,35070470,73.41,-4.95027777778,2150,0,0,9,5,Esc Los Molinos,Almeida,Boyaca,2
1721,35070480,73.5383333333,-5.00722222222,1854,0,0,11,5,Esperanza La,Manta,Cundinamarca,2
1722,35070490,73.5841666667,-4.95916666667,2346,0,0,9,5,Hato Grande Hda,Manta,Cundinamarca,2
1723,35070500,73.3813888889,-4.99555555556,1430,0,0,11,5,Campo Real,Almeida,Boyaca,2
1724,35070520,73.3502777778,-4.93138888889,1780,0,0,9,5,Pomarrosos Los,Macanal,Boyaca,2
1725,35070550,73.4266666667,-5.05638888889,1830,0,0,11,5,Valle Grande,Tenza,Boyaca,2
1726,35075010,73.4563888889,-5.35361111111,2438,3,2,11,5,Nuevo Colon,Nuevo Colon,Boyaca,4
1727,35075020,73.4491666667,-5.02222222222,1930,3,2,11,5,Sutatenza,Sutatenza,Boyaca,4
1728,35075030,73.3491666667,-5.42222222222,2200,0,2,11,5,Villa Luisa,Ramiriqui,Boyaca,3
1729,35075040,73.3166666667,-4.94083333333,1300,3,1,9,5,Inst Agr Macanal,Macanal,Boyaca,4
1730,35080010,73.1691666667,-5.28277777778,1720,0,0,9,5,Zetaquira,Zetaquira,Boyaca,2
1731,35080030,73.0866666667,-5.18277777778,1370,0,0,9,5,Camp Buenavista,Berbeo,Boyaca,2
1732,35080050,73.0530555556,-5.09611111111,1350,0,0,9,5,Paez,Paez,Boyaca,2
1733,35080060,73.2033333333,-5.01361111111,1600,0,0,9,5,Cedros Los,Campohermoso,Boyaca,2
1734,35080070,73.17,-4.82083333333,400,0,0,9,5,San Luis de Gaceno,San Luis de Gaceno,Boyaca,2
1735,35080080,73.2338888889,-4.86027777778,450,0,0,10,5,Piedra Campana,Santa Maria,Boyaca,2
1736,35080100,73.2508333333,-5.10138888889,1790,0,0,9,5,Pte Forero,Garagoa,Boyaca,2
1737,35080110,73.2586111111,-5.005,2250,0,0,9,5,Alto Muceno,Macanal,Boyaca,2
1738,35080120,73.2166666667,-5.0,1820,0,0,9,5,Cedros El Puente,Campohermoso,Boyaca,2
1739,35080130,73.2333333333,-4.9,450,0,0,10,0,Casa de Maquinas,Santa Maria,Boyaca,1
1740,35080140,73.25,-4.88333333333,850,0,0,10,5,Cachipay,Santa Maria,Boyaca,2
1741,35085020,73.2036111111,-5.35833333333,2120,3,1,9,5,Rondon,Rondon,Boyaca,4
1742,35085040,73.1447222222,-5.1925,1640,0,1,9,5,Vivero El,Miraflores,Boyaca,3
1743,35085050,73.1036111111,-5.03444444444,1300,0,1,9,5,Campohermoso,Campohermoso,Boyaca,3
1744,35090010,72.9486111111,-5.4775,3047,0,0,11,5,Potrerito,Aquitania,Boyaca,2
1745,35090040,73.0475,-4.90472222222,390,0,0,10,5,Reventonera,Sabanalarga,Casanare,2
1746,35090050,73.0386111111,-5.00583333333,1200,0,0,9,5,Vista Hermosa,Campohermoso,Boyaca,2
1747,35090060,72.9833333333,-5.28333333333,1725,0,0,9,5,Cazadero,Aquitania,Boyaca,2
1748,35090070,72.9166666667,-5.36666666667,2575,0,0,9,5,Guamo de Sisbaca,Aquitania,Boyaca,2
1749,35095030,72.9438888889,-5.57194444444,3000,5,1,2,5,Tunel El,Cuitiva,Boyaca,4
1750,35095110,72.9172222222,-4.655,255,3,2,9,5,Huerta La Grande,Villanueva,Casanare,4
1751,35100020,72.7927777778,-4.28361111111,180,0,0,9,5,Cabuyaro,Cabuyaro,Meta,2
1752,35105050,72.9533333333,-4.46861111111,190,3,2,9,5,Guaicaramo,Barranca de Upia,Meta,4
1753,35120010,72.0763888889,-4.31138888889,150,0,0,9,5,Pto Gaitan,Puerto Gaitan,Meta,2
1754,35125010,72.1561111111,-4.34055555556,150,3,2,9,5,Margaritas Las Hda,Puerto Lopez,Meta,4
1755,35130010,72.7655555556,-3.95583333333,225,0,0,9,0,Plata La,Puerto Lopez,Meta,1
1756,35180010,72.6658333333,-4.93722222222,180,0,0,9,5,Pradera La,Tauramena,Casanare,2
1757,35180030,72.3913888889,-4.3275,155,0,0,9,5,Fundo Nuevo Humapo,Puerto Lopez,Meta,2
1758,35180040,72.1522222222,-4.44166666667,147,0,0,9,5,Poyata La,Mani,Casanare,2
1759,35180050,71.9605555556,-4.41805555556,142,0,0,9,5,Pto Texas,Mani,Casanare,2
1760,35190010,72.8694444444,-5.61416666667,3400,0,0,11,5,Cintas Las,Sogamoso,Boyaca,2
1761,35190020,72.7047222222,-5.52361111111,2950,0,0,11,5,Toquilla,Aquitania,Boyaca,2
1762,35190030,72.9027777778,-5.20416666667,1080,0,0,10,5,Chameza,Chameza,Casanare,2
1763,35190040,72.5438888889,-5.00944444444,290,0,0,9,5,Tamarindo,Aguazul,Casanare,2
1764,35190050,72.7019444444,-5.28333333333,842,0,0,9,5,Pajarito,Pajarito,Boyaca,2
1765,35190070,72.4586111111,-5.0975,190,0,0,9,5,San Jose,Aguazul,Casanare,2
1766,35195020,72.7502777778,-5.02055555556,460,0,2,9,5,Tauramena,Tauramena,Casanare,3
1767,35195030,72.5508333333,-5.17916666667,380,3,2,9,5,Aguazul,Aguazul,Casanare,4
1768,35195050,72.7172222222,-5.40722222222,1550,0,1,3,3,Corinto,Pajarito,Boyaca,3
1769,35210010,72.4605555556,-5.45472222222,656,0,0,9,5,Morro El,Yopal,Casanare,2
1770,35215010,72.3875,-5.32027777778,325,3,2,9,5,Apto Yopal,Yopal,Casanare,4
1771,35220030,71.3288888889,-4.79305555556,130,0,0,9,5,Orocue,Orocue,Casanare,2
1772,35220040,71.5313888889,-4.90805555556,117,0,0,9,5,Macucuana,Orocue,Casanare,2
1773,35225020,71.4330555556,-4.91027777778,130,3,2,9,5,Modulos,Orocue,Casanare,4
1774,35230010,71.7280555556,-5.42027777778,170,0,0,9,5,San Luis  Palenque,San Luis De Palenque,Casanare,2
1775,35230020,71.9927777778,-5.72416666667,300,0,0,9,5,Pore,Pore,Casanare,2
1776,35230030,72.1063888889,-5.73333333333,350,0,0,9,5,Tablon de Tamara,Tamara,Casanare,2
1777,35235010,72.5291666667,-6.01166666667,3590,0,2,9,5,Cardon El,Socota,Boyaca,3
1778,35250010,69.4233333333,-6.09555555556,82,0,0,9,5,Aurora La,La Primavera,Vichada,2
1779,35250020,69.1277777778,-6.17638888889,76,0,0,9,5,Patevacal,La Primavera,Vichada,2
1780,35250030,68.7775,-6.14555555556,73,0,0,9,5,Pto Fortuna,La Primavera,Vichada,2
1781,35250040,68.3941666667,-6.17527777778,67,0,0,9,5,Aceitico,Puerto Carreno,Vichada,2
1782,35260010,70.8544444444,-5.14305555556,112,0,0,9,5,Bonanza,Santa Rosalia,Vichada,2
1783,35260020,70.7055555556,-5.27083333333,108,0,0,9,5,Sta Maria,Santa Rosalia,Vichada,2
1784,35260030,70.6780555556,-5.35194444444,106,0,0,9,5,Hato Burrunay,Santa Rosalia,Vichada,2
1785,35260060,70.0333333333,-5.73333333333,94,0,0,9,5,Pto Infante,La Primavera,Vichada,2
1786,35260070,69.9869444444,-5.79194444444,92,0,0,9,5,Aguaverde,La Primavera,Vichada,2
1787,35260080,69.8438888889,-6.01027777778,89,0,0,9,5,San Jorge,La Primavera,Vichada,2
1788,36020010,72.1905555556,-6.08805555556,1020,0,0,10,5,Pte Quemado,Sacama,Casanare,2
1789,36020020,72.01,-6.12777777778,575,0,0,3,5,Cabuya La,Hato Corozal,Casanare,2
1790,36020030,71.9758333333,-6.23527777778,860,0,0,3,1,Sta Ines,Tame,Arauca,2
1791,36020040,71.6166666667,-6.23333333333,220,0,0,9,5,San Salvador,Hato Corozal,Casanare,2
1792,36025010,71.745,-6.45611111111,350,0,1,9,5,Tame,Tame,Arauca,3
1793,36030020,69.6386111111,-6.04166666667,87,0,0,9,5,Paraiso El,Cravo Norte,Arauca,2
1794,36030030,71.7075,-6.57055555556,300,0,0,9,5,Morichal,Tame,Arauca,2
1795,37010010,72.5005555556,-7.29805555556,1560,0,0,11,5,Labateca,Labateca,Norte de Santander,2
1796,37010020,72.6647222222,-7.13944444444,2410,0,0,11,5,Chitaga,Chitaga,Norte de Santander,2
1797,37010030,72.6436111111,-7.27,2645,0,0,11,5,Cacota,Cacota,Norte de Santander,2
1798,37010040,72.6808333333,-7.01388888889,3320,0,0,5,5,Presidente,Chitaga,Norte de Santander,2
1799,37010050,72.5561111111,-6.81027777778,3168,0,0,5,5,Tabeta,Concepcion,Santander,2
1800,37010060,72.8044444444,-7.02777777778,3824,0,0,6,3,Portillo El,Guaca,Santander,2
1801,37010080,72.7127777778,-7.19833333333,2650,0,0,2,6,Rincon Los,Silos,Norte de Santander,2
1802,37015010,72.7533333333,-7.2075,2765,5,1,11,5,Silos,Silos,Norte de Santander,4
1803,37015020,72.8686111111,-7.18694444444,3214,5,1,5,5,Berlin Automatica,Tona,Santander,4
1804,37020020,72.4419444444,-7.22666666667,1045,0,0,11,5,San Bernardo Bata,Toledo,Norte de Santander,2
1805,37020030,72.3002777778,-7.09888888889,1660,0,0,10,5,Campo Hermoso,Toledo,Norte de Santander,2
1806,37020040,72.2525,-7.09361111111,850,0,0,10,5,Sta Maria-Abastos,Toledo,Norte de Santander,2
1807,37035010,72.1158333333,-7.00611111111,370,0,1,10,5,Tunebia,Cubara,Boyaca,3
1808,37045010,71.8905555556,-6.94638888889,148,3,1,3,5,Saravena,Saravena,Arauca,4
1809,37050010,71.4197222222,-7.03722222222,100,0,0,9,5,Arauquita,Arauquita,Arauca,2
1810,37050040,70.8516666667,-6.97416666667,150,0,0,9,5,Matezamuro,Arauca,Arauca,2
1811,37050050,70.2655555556,-6.94027777778,100,0,0,9,5,Villanueva,Arauca,Arauca,2
1812,37055010,70.7380555556,-7.06944444444,128,3,2,9,5,Apto Arauca,Arauca,Arauca,4
1813,38010030,67.6402777778,-5.68277777778,70,0,0,9,5,Casuarito,Puerto Carreno,Vichada,2
