,code,dist,distc,prob,lmean,dmean,hmean,bmean,alt,name,muni,qind,clno
0,24030770.0,0.0,13.0,202.0,55.0,8.0,0.0,0.0,2836.0,Garrocho El,Toca,5.6,0
1,24035300.0,7.0,5.0,73.0,60.0,12.0,0.0,0.0,2700.0,San Cristobal,Toca,4.0,0
2,24030550.0,10.0,5.0,101.0,53.0,8.0,0.0,0.0,2675.0,San Pedro,Toca,4.5,0
3,24030780.0,10.0,2.0,81.0,55.0,7.0,0.0,0.0,2690.0,Hotel El,Toca,4.2,0
4,24030800.0,10.0,10.0,67.0,64.0,10.0,0.0,0.0,3200.0,Casa Amarilla,Toca,3.9,0
5,24030530.0,13.0,10.0,67.0,71.0,10.0,0.0,0.0,2580.0,San Antonio,Tuta,3.9,0
6,24030500.0,18.0,5.0,40.0,44.0,9.0,0.0,0.0,2900.0,Col Dptal Agrop,Chivata,3.1,0
7,24035190.0,19.0,14.0,40.0,71.0,0.0,0.0,0.0,3250.0,San Jose,Siachoque,3.1,0
8,24030310.0,22.0,10.0,67.0,74.0,11.0,0.0,0.0,2820.0,Combita,Combita,3.9,0
9,24030450.0,22.0,9.0,101.0,61.0,10.0,0.0,0.0,2645.0,Encanto El,Oicata,4.5,0
10,24010840.0,28.0,16.0,101.0,66.0,8.0,0.0,0.0,3195.0,Panelas,Motavita,4.5,0
