CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
26210130,PM,Guasabra,Santafe de Antioquia,Antioquia,2128,"75°57'21.0""W","6°30'12.0""N",42.8,58.8,82.3,155.3,207.6,139,123.7,129.1,166.7,220.6,154.4,85.4,1565.7,5,5,8,11,15,11,10,9,12,15,13,7,121
27015190,CO,Guayabito,Santo Domingo,Antioquia,1700,"75°8'49.0""W","6°32'27.0""N",122.1,167.6,240,401,498,351.3,369,393.3,474.3,455.4,325.7,185.5,3983,14,15,18,23,25,21,20,22,24,26,23,18,248
23080390,PG,Sto Domingo,Santo Domingo,Antioquia,1901,"75°9'49.7""W","6°28'5.9""N",104,129.5,208.1,339.7,404.7,339.7,302.7,362.5,404.8,401.5,280.6,151.9,3429.8,12,11,17,22,23,18,18,20,21,23,21,14,221
27011100,PM,Brisas Las,Segovia,Antioquia,600,"74°49'18.6""W","7°9'31.7""N",110.1,123.1,145,306.6,443,390.1,378.9,392,431.4,438.3,413.9,243.8,3816.1,7,8,8,13,17,15,15,15,17,18,17,11,161
27030140,PM,Palma de Coco La,Segovia,Antioquia,100,"74°48'28.6""W","7°14'10.0""N",100,120.2,160.3,348.2,447.7,369.9,400.9,450.2,432.2,498.8,400.5,242.5,3971.3,6,6,7,13,16,14,14,16,15,17,14,10,148
23070010,PM,Claro de Luna,Sonson,Antioquia,180,"74°46'7.0""W","5°51'25.0""N",113,101.6,254.7,355.5,310.7,223.5,164.9,212.3,313,343.2,339.9,176.4,2908.6,5,7,11,14,14,10,10,11,13,16,13,7,130
23075010,CP,Rio Claro,Sonson,Antioquia,449,"74°50'54.1""W","5°51'19.9""N",172.5,193.6,295.9,403.7,409,283,210,275.6,366.1,446,426,294.5,3775.9,13,13,17,21,21,18,15,18,19,23,20,17,213
23050100,PM,San Miguel,Sonson,Antioquia,160,"74°43'34.0""W","5°43'51.0""N",106,134.4,219.5,328,326.5,164.6,154.7,200.3,256.3,397.2,264.6,165.4,2717.5,8,9,13,18,17,13,12,13,16,20,16,11,165
26180180,PG,Sonson,Sonson,Antioquia,2402,"75°17'40.2""W","5°42'54.9""N",93.9,121.4,177.2,242.3,271.8,184.1,178.1,184.5,254.7,284.2,223.8,129.9,2345.9,15,16,20,23,23,19,16,17,22,24,22,18,234
26175030,CP,Nacional Gja La,Tamesis,Antioquia,1151,"75°41'39.4""W","5°43'12.6""N",85.9,102.6,148.4,230.5,291.3,204.4,192.3,202.3,278.5,306.5,246.9,161.5,2451,11,13,16,20,22,17,15,16,20,23,22,15,210
26250110,PM,Barro Blanco,Taraza,Antioquia,190,"75°15'51.8""W","7°28'26.8""N",122.4,125,206.3,475.5,627.4,587.7,599.2,610.9,549.9,655.6,568.6,294.3,5422.8,6,6,8,15,18,17,18,19,17,20,18,10,171
26240170,PM,Playalta,Taraza,Antioquia,175,"75°26'54.8""W","7°33'45.2""N",99.5,87.6,158.8,368.4,512.8,470.2,456.9,545,486.3,503.4,381.3,213.7,4283.9,8,7,9,16,21,18,19,19,19,19,17,10,180
26200120,PM,Otramina,Titiribi,Antioquia,1375,"75°47'40.5""W","6°4'22.6""N",99.6,107.8,144.4,237.1,282.9,229.4,190.9,189.7,218.8,273.1,222,106.5,2302.3,7,8,11,15,17,14,12,14,17,18,16,9,158
26235030,CO,Matanzas,Toledo,Antioquia,500,"75°39'57.1""W","7°2'8.9""N",23.4,44.1,75.6,122,205,211.5,218.7,184.2,199.7,202.3,129.9,67.9,1684.4,4,6,11,16,22,22,21,20,21,22,16,9,191
12010100,PM,Eupol,Turbo,Antioquia,4,"76°37'2.6""W","7°56'43.9""N",113.6,77.1,90.9,257.8,321.7,251.9,259.4,306,266.7,306.9,263.5,195.7,2711.2,5,3,4,9,12,11,10,11,11,10,10,8,102
12010110,PM,Prado Mar,Turbo,Antioquia,38,"76°38'18.7""W","7°59'14.7""N",75.4,65.3,66.6,213.1,302.4,273.4,234.2,264.1,223.5,228.7,217.9,179,2343.5,4,4,4,9,11,11,11,11,10,9,9,7,101
12020010,PM,Pueblo Bello,Turbo,Antioquia,79,"76°31'29.0""W","8°12'15.0""N",40.6,35.8,59.2,157.8,225,165.2,168.8,183.3,170.6,149.6,142.5,89.1,1587.4,4,3,4,8,10,10,10,10,9,9,8,6,91
12010120,PM,Sta Martha,Turbo,Antioquia,64,"76°38'50.0""W","7°53'1.0""N",101,74.7,96.2,229.4,330.2,313.5,276.7,288.2,256.7,293.5,295.6,200.4,2756.1,6,5,6,12,15,16,16,15,14,14,13,10,143
12010010,PM,Tormento El,Turbo,Antioquia,20,"76°51'19.0""W","7°45'59.0""N",177.9,197.2,221.7,393.9,475.5,402.1,430.9,408.9,392.1,324,351.9,285.3,4061.3,9,9,9,16,18,17,18,18,17,15,15,14,177
