CODIGO,CAT,NOMBRE,MUNICIPIO,DEPARTAMENTO,ELEV,LONGITUD,LATITUD,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
24015270,CO,Velez Granja,Velez,Santander,2170,"73°40'22.0""W","5°59'50.0""N",6.7,6.1,4.9,4.0,4.2,4.8,5.3,5.4,5.0,4.3,4.8,6.2,5.2
24055030,CO,Zapatoca,Zapatoca,Santander,1810,"73°16'57.9""W","6°47'34.0""N",6.5,6.0,5.4,4.5,4.6,3.9,5.6,5.9,5.4,4.7,4.8,5.7,5.2
13095020,CP,Primates,Coloso,Sucre,200,"75°21'4.9""W","9°31'48.5""N",5.8,6.3,6.0,4.6,3.9,4.3,4.9,4.5,4.4,4.1,4.2,4.8,4.8
25025080,SS,Apto Rafael Barvo,Corozal,Sucre,166,"75°16'59.0""W","9°20'2.0""N",7.6,7.2,6.0,4.8,4.6,5.6,6.1,5.7,4.5,4.8,5.1,6.6,5.7
25025240,CP,Majagual,Majagual,Sucre,20,"74°38'25.0""W","8°32'47.0""N",6.8,6.7,5.3,4.5,4.5,5.4,6.2,6.0,5.0,4.9,5.6,5.8,5.6
25025270,AM,Univ de Sucre,Sampues,Sucre,160,"75°24'8.0""W","9°12'42.0""N",7.3,6.8,5.7,4.8,4.4,5.5,6.0,5.5,4.7,4.6,4.9,6.1,5.5
25025180,CO,San Benito Abad,San Benito Abad,Sucre,20,"75°2'11.0""W","8°56'7.0""N",8.2,7.7,6.2,5.7,5.2,6.3,7.0,6.8,5.7,5.8,6.0,7.2,6.5
21255080,CP,Salto El,Ambalema,Tolima,450,"74°46'4.6""W","4°47'1.5""N",6.3,5.7,4.8,4.9,5.4,5.7,6.4,6.3,5.8,5.4,5.6,5.9,5.7
21255090,CP,Armero Gja,Armero,Tolima,300,"74°54'37.8""W","5°0'9.7""N",6.8,6.1,5.2,5.3,5.7,6.5,7.0,6.9,6.4,6.0,6.1,6.2,6.2
22055020,CO,Mesa de Pole,Ataco,Tolima,500,"75°32'22.8""W","3°27'31.2""N",4.6,4.3,4.0,3.8,4.1,4.6,4.5,4.5,4.3,3.9,4.1,4.4,4.3
21215100,CO,Cajamarca,Cajamarca,Tolima,1920,"75°25'28.5""W","4°26'29.4""N",5.2,4.9,4.4,3.8,4.0,4.1,4.4,4.3,4.3,4.2,4.3,4.8,4.4
22045010,CO,Demostracion Gja,Chaparral,Tolima,1040,"75°30'12.5""W","3°43'20.9""N",5.9,5.6,4.8,4.9,5.5,5.7,5.8,5.8,5.6,5.2,5.0,5.8,5.5
21155040,CO,Dolores Hda Madron,Dolores,Tolima,1456,"74°54'20.8""W","3°31'59.0""N",6.2,5.5,4.5,4.6,5.1,5.8,6.0,6.1,5.2,4.8,4.7,5.5,5.3
21185020,AM,Nataima,Espinal,Tolima,431,"74°57'34.2""W","4°11'15.4""N",6.2,5.7,5.2,5.1,5.5,5.8,6.3,6.5,6.0,5.7,5.6,5.8,5.8
21185040,CO,Apto Santiago Vila,Flandes,Tolima,286,"74°47'54.4""W","4°16'39.4""N",6.7,6.1,5.4,5.4,5.7,6.0,6.4,6.4,6.2,6.1,6.1,6.4,6.1
21185030,CP,Guamo,Guamo,Tolima,360,"74°58'52.8""W","4°0'32.2""N",6.4,5.7,4.6,4.7,5.1,5.4,5.9,5.9,5.4,5.5,5.5,5.6,5.5
23025020,CO,Esperanza La,Honda,Tolima,222,"74°43'45.0""W","5°15'46.0""N",6.5,5.9,4.9,4.9,5.7,6.0,6.7,6.6,6.0,5.6,5.8,6.1,5.9
21245040,SS,Apto Perales,Ibague,Tolima,928,"75°8'54.3""W","4°25'48.4""N",5.8,5.1,4.5,4.6,5.0,5.6,6.2,6.3,6.0,5.1,4.7,5.3,5.3
21215140,ME,Cementos Diamante,Ibague,Tolima,780,"75°4'50.4""W","4°19'52.7""N",6.5,5.7,5.0,5.0,5.6,5.8,6.5,6.3,5.7,5.4,5.8,6.1,5.8
21245010,CO,Perales Hato Opia,Ibague,Tolima,750,"75°5'14.9""W","4°25'23.3""N",5.9,5.2,4.6,4.5,5.1,5.7,6.3,6.4,5.8,5.1,4.8,5.5,5.4
21255150,CP,Garcia Hda,Lerida,Tolima,350,"74°53'29.6""W","4°51'19.5""N",6.8,6.4,5.5,5.5,5.9,6.6,7.2,7.1,6.7,6.2,6.4,6.5,6.4
21255140,CP,Quinta La,Lerida,Tolima,500,"74°55'14.5""W","4°49'17.8""N",6.7,6.2,5.2,5.4,5.5,6.3,6.9,7.1,6.6,6.1,6.1,6.4,6.2
21135030,CP,Anchique,Natagaima,Tolima,415,"75°6'32.4""W","3°34'25.8""N",7.4,6.6,5.8,5.8,6.3,6.4,6.8,6.8,6.5,6.3,6.3,6.8,6.5
